Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,2,0.26,0.23,0.4,0.48
1,9,0.25,0.18,0.36,0.45
4,3,0.29,0.35,0.3,0.47
5,3,0.33,0.34,0.37,0.44
5,9,0.3,0.25,0.3,0.44
6,9,0.29,0.22,0.36,0.46
6,2,0.29,0.18,0.33,0.34
6,3,0.28,0.17,0.3,0.34
8,2,0.37,0.45,0.35,0.5
9,2,0.33,0.22,0.31,0.46
9,9,0.28,0.18,0.3,0.46
10,2,0.31,0.27,0.29,0.41
10,9,0.28,0.23,0.23,0.41
11,9,0.21,0.24,0.29,0.37
11,2,0.17,0.2,0.25,0.34
13,2,0.26,0.36,0.34,0.41
15,9,0.25,0.22,0.22,0.48
16,9,0.12,0.13,0.14,0.4
28,9,0.32,0.4,0.35,0.47
30,9,0.26,0.14,0.28,0.43
33,3,0.25,0.3,0.34,0.41
35,9,0.23,0.06,0.23,0.5
38,9,0.19,0.17,0.23,0.39
38,2,0.19,0.15,0.2,0.35
41,9,0.31,0.36,0.36,0.56
42,7,0.26,0.31,0.33,0.43
43,9,0.23,0.2,0.25,0.49
44,2,0.2,0.18,0.2,0.36
46,2,0.28,0.23,0.17,0.32
47,2,0.31,0.29,0.28,0.55
48,2,0.22,0.12,0.19,0.36
49,9,0.19,0.13,0.1,0.4
51,3,0.28,0.11,0.25,0.36
53,3,0.03,0.1,0.12,0.24
54,2,0.35,0.28,0.32,0.45
58,3,0.3,0.12,0.3,0.38
58,7,0.28,0.11,0.3,0.29
58,2,0.27,0.07,0.29,0.29
58,9,0.22,0.05,0.29,0.29
59,9,0.35,0.13,0.26,0.44
60,9,0.32,0.12,0.23,0.37
65,2,0.39,0.29,0.4,0.49
66,9,0.3,0.34,0.33,0.34
67,2,0.25,0.26,0.27,0.34
68,2,0.27,0.28,0.36,0.46
69,2,0.3,0.39,0.34,0.47
69,9,0.26,0.32,0.31,0.47
73,9,0.23,0.27,0.28,0.38
77,2,0.36,0.27,0.22,0.39
77,9,0.3,0.26,0.18,0.39
83,9,0.21,0.09,0.24,0.24
84,9,0.26,0.19,0.28,0.32
84,2,0.26,0.17,0.25,0.27
87,3,0.25,0.34,0.36,0.4
87,9,0.21,0.32,0.35,0.4
88,9,0.28,0.22,0.23,0.45
88,2,0.27,0.22,0.21,0.4
89,9,0.23,0.34,0.28,0.45
90,3,0.33,0.21,0.3,0.46
92,2,0.18,0.28,0.19,0.25
92,9,0.16,0.26,0.16,0.25
98,9,0.32,0.42,0.36,0.38
100,2,0.2,0.31,0.25,0.31
103,9,0.31,0.24,0.26,0.37
105,3,0.28,0.26,0.31,0.42
107,3,0.31,0.05,0.3,0.37
108,9,0.19,0.12,0.24,0.38
108,3,0.18,0.08,0.15,0.28
112,2,0.32,0.22,0.25,0.5
116,2,0.39,0.51,0.38,0.45
116,9,0.39,0.49,0.35,0.45
117,3,0.35,0.34,0.34,0.49
122,2,0.43,0.47,0.49,0.47
123,2,0.28,0.19,0.28,0.39
125,3,0.27,0.24,0.3,0.39
128,2,0.13,0.26,0.3,0.25
129,2,0.19,0.29,0.25,0.3
129,9,0.18,0.26,0.19,0.3
130,3,0.24,0.25,0.19,0.39
130,9,0.18,0.19,0.19,0.39
136,2,0.25,0.24,0.24,0.33
138,2,0.29,0.29,0.3,0.31
138,9,0.26,0.29,0.26,0.31
140,2,0.28,0.23,0.33,0.31
143,2,0.33,0.47,0.35,0.37
158,3,0.39,0.42,0.35,0.57
160,9,0.1,0.18,0.2,0.28
161,3,0.37,0.48,0.37,0.5
166,9,0.3,0.14,0.18,0.4
166,2,0.29,0.11,0.15,0.29
173,9,0.31,0.24,0.31,0.45
174,2,0.27,0.19,0.31,0.28
174,9,0.25,0.19,0.27,0.25
177,2,0.12,0.14,0.28,0.34
177,9,0.12,0.12,0.26,0.34
179,8,0.28,0.2,0.42,0.43
180,3,0.32,0.22,0.16,0.58
180,2,0.32,0.2,0.15,0.57
180,9,0.3,0.19,0.15,0.57
183,3,0.3,0.4,0.42,0.5
183,9,0.3,0.34,0.42,0.44
183,7,0.28,0.31,0.36,0.4
185,9,0.32,0.39,0.39,0.46
188,1,0.34,0.27,0.31,0.25
191,2,0.28,0.27,0.39,0.4
191,9,0.26,0.15,0.29,0.4
192,3,0.4,0.39,0.39,0.52
193,2,0.21,0.13,0.2,0.33
199,9,0.15,0.27,0.23,0.38
203,2,0.29,0.1,0.31,0.44
206,2,0.24,0.31,0.31,0.33
212,2,0.37,0.54,0.42,0.44
215,9,0.27,0.29,0.33,0.39
215,2,0.27,0.28,0.3,0.28
217,3,0.29,0.39,0.29,0.61
217,7,0.29,0.3,0.25,0.51
219,3,0.33,0.24,0.25,0.43
219,9,0.24,0.19,0.22,0.37
220,3,0.41,0.37,0.39,0.49
220,7,0.34,0.32,0.37,0.48
221,3,0.24,0.17,0.2,0.36
230,7,0.18,0.14,0.23,0.31
233,2,0.36,0.43,0.38,0.27
237,2,0.25,0.23,0.17,0.33
242,2,0.26,0.2,0.22,0.39
245,9,0.22,0.18,0.13,0.43
248,9,0.24,0.26,0.31,0.43
251,2,0.2,0.22,0.25,0.39
251,9,0.19,0.17,0.2,0.39
252,9,0.22,0.18,0.17,0.33
252,2,0.2,0.16,0.15,0.28
253,2,0.23,0.2,0.26,0.37
261,2,0.31,0.33,0.25,0.36
272,3,0.33,0.41,0.33,0.5
276,3,0.36,0.31,0.41,0.5
277,7,0.32,0.39,0.44,0.52
277,3,0.32,0.33,0.37,0.45
277,1,0.29,0.27,0.36,0.37
285,3,0.27,0.17,0.21,0.47
287,3,0.27,0.28,0.37,0.44
290,3,0.23,0.33,0.25,0.41
291,3,0.36,0.27,0.25,0.39
292,3,0.3,0.25,0.23,0.41
292,9,0.29,0.15,0.23,0.32
293,3,0.35,0.31,0.38,0.33
294,3,0.3,0.32,0.3,0.49
295,9,0.32,0.2,0.31,0.5
296,3,0.32,0.25,0.25,0.5
296,7,0.27,0.18,0.25,0.41
297,3,0.18,0.16,0.1,0.4
298,3,0.25,0.16,0.13,0.43
299,3,0.22,0.19,0.18,0.5
300,3,0.34,0.23,0.32,0.54
301,3,0.28,0.23,0.26,0.53
302,3,0.26,0.27,0.23,0.49
303,3,0.27,0.27,0.25,0.52
304,3,0.21,0.24,0.19,0.51
305,3,0.3,0.27,0.33,0.48
307,3,0.39,0.06,0.29,0.35
308,3,0.29,0.2,0.32,0.47
309,3,0.38,0.41,0.4,0.52
309,9,0.31,0.29,0.37,0.52
317,3,0.29,0.18,0.31,0.35
325,3,0.29,0.21,0.23,0.43
327,3,0.15,0.22,0.26,0.33
329,3,0.34,0.25,0.34,0.39
330,3,0.36,0.3,0.36,0.42
331,3,0.3,0.31,0.31,0.52
332,3,0.4,0.25,0.34,0.5
332,2,0.3,0.12,0.34,0.42
383,7,0.33,0.35,0.3,0.51
390,3,0.44,0.45,0.46,0.59
390,1,0.37,0.37,0.34,0.56
395,3,0.33,0.25,0.31,0.51
399,1,0.27,0.13,0.25,0.35
402,9,0.27,0.12,0.22,0.47
425,5,0.23,0.42,0.34,0.32
428,7,0.31,0.48,0.4,0.42
429,9,0.21,0.2,0.23,0.31
438,0,0.38,0.46,0.43,0.39
439,0,0.42,0.58,0.56,0.49
440,9,0.42,0.47,0.39,0.45
442,9,0.41,0.52,0.46,0.48
446,0,0.48,0.64,0.58,0.42
446,1,0.42,0.57,0.42,0.42
456,9,0.44,0.41,0.45,0.45
460,3,0.2,0.16,0.18,0.39
465,3,0.17,0.27,0.2,0.44
466,3,0.3,0.29,0.21,0.5
469,3,0.23,0.29,0.25,0.46
481,3,0.25,0.37,0.23,0.4
482,3,0.32,0.33,0.26,0.51
486,3,0.32,0.33,0.24,0.49
487,3,0.32,0.35,0.28,0.49
488,3,0.29,0.27,0.26,0.43
489,3,0.28,0.44,0.32,0.51
492,9,0.2,0.22,0.24,0.3
493,3,0.25,0.21,0.29,0.37
494,3,0.25,0.31,0.16,0.42
495,3,0.26,0.27,0.17,0.34
496,3,0.21,0.2,0.2,0.36
496,9,0.18,0.14,0.2,0.33
504,9,0.35,0.32,0.41,0.51
509,9,0.23,0.06,0.41,0.41
509,3,0.23,0.05,0.39,0.37
516,1,0.35,0.44,0.37,0.35
516,2,0.35,0.4,0.37,0.35
518,2,0.34,0.48,0.43,0.47
522,0,0.41,0.51,0.48,0.38
522,1,0.38,0.46,0.36,0.38
523,0,0.41,0.64,0.57,0.47
523,1,0.38,0.58,0.46,0.47
524,9,0.33,0.28,0.38,0.48
528,3,0.32,0.22,0.27,0.37
528,9,0.24,0.19,0.27,0.36
528,7,0.24,0.15,0.24,0.27
528,2,0.21,0.13,0.23,0.27
533,9,0.42,0.5,0.5,0.52
535,0,0.33,0.52,0.42,0.32
535,1,0.32,0.51,0.39,0.32
539,2,0.38,0.37,0.39,0.5
540,2,0.33,0.32,0.31,0.42
540,9,0.28,0.28,0.26,0.42
542,9,0.51,0.71,0.52,0.63
544,0,0.48,0.6,0.51,0.39
544,1,0.37,0.54,0.44,0.37
548,3,0.47,0.5,0.48,0.49
549,9,0.38,0.47,0.36,0.52
552,9,0.38,0.2,0.34,0.49
554,9,0.36,0.48,0.34,0.55
554,2,0.36,0.47,0.33,0.47
556,2,0.07,0.04,0.14,0.2
558,2,0.34,0.24,0.34,0.51
558,9,0.33,0.22,0.3,0.51
559,3,0.25,0.25,0.25,0.33
565,9,0.29,0.2,0.36,0.5
571,3,0.38,0.24,0.39,0.37
572,3,0.22,0.14,0.24,0.39
573,2,0.36,0.22,0.44,0.48
573,9,0.36,0.19,0.39,0.48
575,9,0.39,0.1,0.37,0.47
575,2,0.39,0.09,0.36,0.34
575,7,0.34,0.09,0.32,0.32
576,2,0.38,0.11,0.31,0.44
581,9,0.42,0.3,0.39,0.57
581,1,0.41,0.3,0.33,0.54
581,3,0.39,0.3,0.33,0.54
582,3,0.41,0.39,0.31,0.45
583,3,0.34,0.32,0.35,0.47
583,9,0.3,0.23,0.3,0.47
584,3,0.29,0.37,0.36,0.44
585,3,0.31,0.38,0.25,0.43
585,9,0.31,0.34,0.25,0.43
586,2,0.28,0.15,0.31,0.38
588,9,0.21,0.24,0.21,0.4
589,3,0.26,0.33,0.21,0.42
590,3,0.36,0.24,0.1,0.5
590,9,0.28,0.1,0.1,0.41
591,9,0.27,0.31,0.27,0.44
593,9,0.33,0.13,0.25,0.52
594,3,0.3,0.36,0.18,0.41
595,3,0.29,0.32,0.2,0.38
596,3,0.25,0.26,0.24,0.38
598,3,0.27,0.31,0.2,0.42
599,3,0.26,0.26,0.27,0.27
601,3,0.32,0.28,0.28,0.41
604,3,0.22,0.15,0.11,0.49
604,5,0.18,0.11,0.11,0.45
605,3,0.21,0.16,0.16,0.4
606,3,0.24,0.22,0.13,0.53
606,7,0.18,0.17,0.12,0.46
607,9,0.29,0.24,0.22,0.41
607,3,0.28,0.2,0.22,0.36
608,3,0.25,0.25,0.21,0.64
608,7,0.21,0.17,0.21,0.56
609,3,0.24,0.17,0.3,0.39
612,3,0.24,0.12,0.16,0.41
615,3,0.35,0.26,0.27,0.5
620,3,0.32,0.23,0.2,0.6
620,7,0.31,0.23,0.2,0.51
621,3,0.24,0.24,0.31,0.61
621,7,0.23,0.16,0.31,0.54
624,3,0.36,0.28,0.32,0.48
635,2,0.18,0.13,0.2,0.32
642,9,0.31,0.19,0.27,0.46
651,3,0.28,0.11,0.22,0.46
653,9,0.33,0.05,0.28,0.4
657,9,0.45,0.37,0.44,0.54
657,2,0.35,0.35,0.36,0.38
660,2,0.25,0.14,0.23,0.3
661,2,0.25,0.18,0.23,0.29
662,3,0.39,0.41,0.35,0.49
663,2,0.36,0.28,0.32,0.42
668,7,0.22,0.13,0.14,0.45
673,2,0.39,0.53,0.48,0.43
675,1,0.42,0.25,0.36,0.34
677,9,0.31,0.28,0.35,0.38
679,2,0.31,0.21,0.31,0.36
681,2,0.41,0.24,0.4,0.48
692,2,0.39,0.37,0.33,0.41
693,2,0.39,0.43,0.36,0.43
695,2,0.33,0.42,0.39,0.39
696,2,0.36,0.31,0.33,0.42
697,3,0.33,0.23,0.22,0.43
699,3,0.25,0.17,0.17,0.51
700,3,0.37,0.27,0.32,0.48
702,2,0.31,0.33,0.41,0.34
