Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,8,0.51,0.49,0.64,0.61
5,8,0.37,0.25,0.32,0.39
6,0,0.35,0.23,0.39,0.44
36,8,0.3,0.3,0.34,0.5
36,4,0.29,0.3,0.34,0.5
49,6,0.23,0.35,0.16,0.44
55,8,0.25,0.38,0.3,0.44
95,0,0.28,0.27,0.37,0.45
95,4,0.28,0.23,0.37,0.45
95,5,0.21,0.23,0.37,0.45
97,0,0.29,0.55,0.29,0.58
97,5,0.27,0.55,0.29,0.58
97,4,0.25,0.55,0.29,0.58
98,6,0.3,0.33,0.35,0.29
98,5,0.23,0.33,0.35,0.29
98,0,0.22,0.33,0.35,0.29
100,4,0.25,0.32,0.34,0.34
100,0,0.23,0.32,0.34,0.34
101,0,0.3,0.25,0.34,0.42
101,4,0.3,0.25,0.34,0.42
101,5,0.28,0.25,0.34,0.42
102,6,0.21,0.2,0.38,0.36
110,0,0.3,0.23,0.38,0.36
113,4,0.31,0.29,0.39,0.42
120,9,0.14,0.4,0.1,0.39
120,0,0.13,0.4,0.1,0.39
120,6,0.09,0.4,0.1,0.39
120,8,0.09,0.4,0.1,0.39
120,4,0.08,0.4,0.1,0.39
120,5,0.06,0.4,0.1,0.39
120,3,0.03,0.4,0.08,0.39
120,1,0.0,0.4,0.08,0.39
120,2,-0.02,0.4,0.06,0.39
122,8,0.58,0.72,0.66,0.58
125,0,0.31,0.28,0.33,0.43
126,4,0.22,0.23,0.38,0.46
133,0,0.25,0.35,0.24,0.47
134,0,0.29,0.32,0.38,0.34
134,4,0.25,0.32,0.38,0.34
134,5,0.24,0.32,0.38,0.34
134,6,0.24,0.32,0.38,0.34
136,0,0.26,0.28,0.35,0.38
136,4,0.23,0.28,0.35,0.38
136,5,0.23,0.28,0.35,0.38
136,8,0.23,0.28,0.35,0.38
140,0,0.27,0.21,0.33,0.33
140,6,0.23,0.17,0.33,0.33
140,5,0.2,0.17,0.33,0.33
140,4,0.18,0.17,0.33,0.33
140,3,0.17,0.17,0.33,0.33
140,1,0.15,0.17,0.33,0.33
140,8,0.15,0.17,0.33,0.33
149,0,0.33,0.22,0.34,0.45
155,4,0.32,0.25,0.33,0.45
158,4,0.33,0.28,0.34,0.53
165,0,0.32,0.27,0.33,0.36
166,0,0.34,0.25,0.18,0.42
169,3,0.31,0.42,0.3,0.34
169,5,0.28,0.42,0.3,0.34
169,0,0.26,0.42,0.3,0.34
190,4,0.34,0.23,0.32,0.41
203,4,0.36,0.3,0.37,0.49
204,4,0.28,0.26,0.39,0.44
217,4,0.29,0.61,0.32,0.51
217,9,0.28,0.61,0.32,0.51
217,6,0.27,0.61,0.28,0.51
217,0,0.26,0.61,0.28,0.51
217,3,0.23,0.61,0.28,0.51
217,5,0.21,0.61,0.28,0.51
224,9,0.39,0.26,0.31,0.47
226,6,0.28,0.28,0.33,0.47
226,8,0.27,0.28,0.33,0.47
227,8,0.36,0.37,0.45,0.46
268,0,0.23,0.31,0.35,0.38
270,6,0.34,0.22,0.29,0.41
270,4,0.33,0.22,0.29,0.41
272,9,0.31,0.32,0.35,0.45
272,0,0.3,0.3,0.35,0.45
272,4,0.3,0.3,0.35,0.45
272,5,0.27,0.3,0.35,0.45
277,8,0.32,0.32,0.42,0.4
277,3,0.28,0.32,0.42,0.4
277,4,0.28,0.32,0.42,0.4
278,0,0.35,0.32,0.4,0.39
305,4,0.35,0.22,0.3,0.44
307,4,0.37,0.1,0.29,0.39
313,4,0.36,0.17,0.28,0.48
313,9,0.35,0.17,0.28,0.48
330,4,0.34,0.26,0.33,0.45
383,0,0.29,0.33,0.33,0.49
383,4,0.29,0.33,0.33,0.49
383,5,0.29,0.33,0.33,0.49
383,8,0.27,0.33,0.33,0.49
383,3,0.25,0.33,0.33,0.49
383,9,0.25,0.33,0.33,0.49
383,6,0.23,0.33,0.33,0.49
389,4,0.36,0.19,0.29,0.4
389,0,0.33,0.19,0.29,0.4
392,6,0.24,0.4,0.24,0.34
392,4,0.22,0.4,0.24,0.34
402,6,0.31,0.32,0.35,0.55
417,6,0.32,0.36,0.31,0.41
417,0,0.29,0.36,0.31,0.41
420,0,0.25,0.41,0.32,0.39
424,6,0.26,0.33,0.26,0.37
428,9,0.27,0.32,0.33,0.42
477,8,0.25,0.36,0.29,0.4
477,4,0.23,0.36,0.27,0.4
477,0,0.2,0.36,0.27,0.4
508,9,0.34,0.26,0.36,0.39
509,6,0.3,0.24,0.45,0.46
520,3,0.36,0.43,0.31,0.34
538,4,0.36,0.34,0.27,0.42
564,9,0.36,0.31,0.4,0.4
564,4,0.33,0.31,0.4,0.4
574,4,0.45,0.09,0.41,0.46
574,5,0.44,0.09,0.41,0.46
574,0,0.42,0.09,0.41,0.46
574,9,0.37,0.09,0.41,0.46
574,6,0.35,0.09,0.41,0.46
574,8,0.34,0.09,0.41,0.46
574,3,0.33,0.09,0.41,0.46
576,8,0.35,0.31,0.38,0.42
576,4,0.34,0.17,0.29,0.42
576,5,0.34,0.17,0.29,0.42
593,9,0.33,0.26,0.35,0.55
601,9,0.35,0.22,0.29,0.37
606,9,0.3,0.64,0.23,0.55
606,6,0.26,0.64,0.23,0.55
606,0,0.22,0.64,0.23,0.55
606,8,0.2,0.64,0.23,0.55
606,4,0.19,0.64,0.23,0.55
606,5,0.19,0.64,0.23,0.55
610,0,0.33,0.21,0.3,0.46
610,9,0.33,0.21,0.3,0.4
623,9,0.37,0.21,0.3,0.42
623,5,0.33,0.21,0.27,0.42
633,8,0.35,0.26,0.41,0.44
633,6,0.31,0.21,0.33,0.44
637,4,0.32,0.23,0.33,0.39
637,8,0.3,0.23,0.33,0.39
