Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,8,0.51,0.49,0.64,0.61
6,0,0.35,0.23,0.39,0.44
6,5,0.28,0.21,0.39,0.41
10,0,0.3,0.21,0.23,0.45
11,0,0.2,0.24,0.27,0.37
20,7,0.23,0.6,0.27,0.59
21,8,0.41,0.25,0.38,0.48
21,9,0.34,0.23,0.37,0.44
23,0,0.35,0.27,0.31,0.47
28,0,0.32,0.46,0.35,0.48
35,0,0.24,0.13,0.2,0.47
38,0,0.23,0.14,0.23,0.44
46,0,0.27,0.24,0.2,0.35
47,0,0.31,0.29,0.25,0.55
51,1,0.33,0.15,0.28,0.32
54,0,0.4,0.29,0.28,0.48
58,8,0.35,0.34,0.43,0.47
66,0,0.32,0.37,0.4,0.38
70,9,0.35,0.41,0.37,0.53
73,0,0.23,0.24,0.25,0.36
74,8,0.35,0.35,0.33,0.44
75,8,0.37,0.29,0.26,0.43
77,0,0.34,0.3,0.2,0.42
81,1,0.31,0.27,0.3,0.35
83,9,0.27,0.22,0.32,0.36
83,8,0.26,0.16,0.32,0.34
83,0,0.26,0.14,0.26,0.33
85,0,0.28,0.22,0.13,0.53
90,9,0.41,0.36,0.36,0.52
92,0,0.19,0.3,0.23,0.25
96,8,0.19,0.21,0.29,0.4
107,9,0.25,0.15,0.3,0.37
115,8,0.37,0.39,0.45,0.53
122,8,0.58,0.72,0.66,0.58
123,0,0.31,0.21,0.31,0.4
124,8,0.31,0.26,0.38,0.39
132,8,0.21,0.09,0.25,0.27
132,0,0.21,0.05,0.19,0.25
135,9,0.17,0.31,0.34,0.27
138,0,0.31,0.26,0.28,0.36
143,0,0.23,0.37,0.28,0.35
146,0,0.29,0.28,0.27,0.36
146,1,0.29,0.25,0.27,0.35
148,1,0.26,0.23,0.19,0.28
149,0,0.33,0.22,0.34,0.45
157,9,0.28,0.14,0.2,0.53
158,1,0.33,0.28,0.34,0.53
158,5,0.33,0.24,0.31,0.53
161,1,0.4,0.38,0.44,0.43
161,5,0.4,0.33,0.38,0.43
162,3,0.32,0.34,0.27,0.38
162,0,0.29,0.28,0.26,0.38
168,8,0.23,0.25,0.26,0.3
170,0,0.4,0.24,0.31,0.52
176,0,0.3,0.29,0.3,0.42
180,8,0.44,0.56,0.47,0.67
187,4,0.45,0.43,0.39,0.7
196,9,0.31,0.23,0.29,0.45
203,8,0.36,0.3,0.37,0.49
227,8,0.36,0.37,0.45,0.46
234,8,0.36,0.27,0.34,0.49
247,9,0.19,0.26,0.24,0.36
271,8,0.36,0.38,0.38,0.41
278,0,0.35,0.32,0.4,0.39
287,0,0.32,0.27,0.33,0.44
292,1,0.24,0.2,0.24,0.41
294,5,0.25,0.23,0.28,0.43
297,1,0.17,0.13,0.1,0.39
320,1,0.27,0.1,0.24,0.38
325,1,0.22,0.19,0.22,0.43
329,1,0.32,0.21,0.31,0.41
330,1,0.34,0.26,0.33,0.45
332,5,0.28,0.17,0.3,0.44
383,1,0.29,0.33,0.33,0.49
390,9,0.54,0.55,0.51,0.63
400,8,0.24,0.24,0.34,0.44
406,1,0.36,0.46,0.44,0.43
414,3,0.31,0.21,0.2,0.37
423,6,0.17,0.29,0.25,0.29
434,1,0.11,0.15,0.05,0.17
435,1,0.11,0.15,0.05,0.17
438,3,0.41,0.42,0.39,0.41
439,3,0.49,0.62,0.58,0.52
446,3,0.55,0.66,0.58,0.49
446,0,0.29,0.42,0.34,0.49
447,0,0.45,0.41,0.33,0.5
461,9,0.3,0.3,0.27,0.5
463,7,0.22,0.55,0.17,0.56
464,1,0.07,0.12,0.1,0.25
492,9,0.2,0.27,0.3,0.35
494,1,0.18,0.18,0.18,0.42
496,1,0.21,0.24,0.25,0.35
497,0,0.42,0.36,0.43,0.52
501,9,0.28,0.18,0.24,0.39
506,9,0.24,0.03,0.22,0.39
507,8,0.42,0.47,0.46,0.45
508,9,0.34,0.26,0.36,0.39
508,0,0.32,0.16,0.35,0.39
517,3,0.41,0.36,0.37,0.52
519,0,0.36,0.52,0.46,0.47
520,3,0.36,0.43,0.31,0.34
521,3,0.36,0.42,0.36,0.49
522,3,0.43,0.48,0.45,0.41
523,3,0.41,0.69,0.58,0.44
530,3,0.45,0.43,0.41,0.45
533,5,0.38,0.4,0.41,0.44
533,0,0.38,0.38,0.39,0.42
533,4,0.36,0.36,0.39,0.4
535,3,0.33,0.45,0.34,0.37
538,4,0.36,0.34,0.27,0.42
540,0,0.36,0.34,0.36,0.42
544,3,0.47,0.63,0.52,0.39
548,1,0.43,0.62,0.57,0.57
554,0,0.41,0.47,0.4,0.56
561,8,0.38,0.29,0.38,0.38
564,8,0.36,0.31,0.4,0.4
