Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
24,6,0.16,0.21,0.18,0.35
24,0,0.14,0.21,0.18,0.34
24,7,0.11,0.19,0.18,0.33
24,2,0.08,0.19,0.18,0.27
24,5,0.08,0.19,0.13,0.27
24,8,0.06,0.19,0.13,0.27
24,1,0.05,0.19,0.11,0.25
25,9,0.3,0.28,0.23,0.37
25,3,0.25,0.25,0.22,0.34
25,4,0.23,0.25,0.22,0.34
25,0,0.23,0.18,0.2,0.31
26,9,0.2,0.25,0.29,0.3
26,2,0.17,0.2,0.26,0.29
26,4,0.17,0.2,0.23,0.29
26,0,0.17,0.16,0.2,0.28
26,3,0.17,0.13,0.19,0.28
26,7,0.17,0.13,0.19,0.22
26,6,0.15,0.13,0.19,0.21
26,1,0.14,0.13,0.19,0.18
26,5,0.11,0.06,0.19,0.15
26,8,0.11,0.02,0.14,0.14
27,3,0.14,0.09,0.2,0.36
27,9,0.14,0.09,0.2,0.36
28,9,0.33,0.47,0.42,0.5
28,2,0.27,0.44,0.38,0.5
28,0,0.27,0.39,0.32,0.5
28,4,0.27,0.38,0.32,0.5
28,6,0.27,0.34,0.28,0.36
28,3,0.27,0.34,0.25,0.33
28,1,0.22,0.34,0.25,0.3
28,5,0.19,0.24,0.25,0.3
28,8,0.19,0.23,0.21,0.3
28,7,0.17,0.18,0.21,0.3
29,9,0.24,0.3,0.31,0.37
29,3,0.2,0.25,0.28,0.36
29,4,0.2,0.25,0.28,0.35
29,2,0.15,0.21,0.28,0.32
29,0,0.15,0.21,0.22,0.29
29,6,0.15,0.16,0.21,0.29
29,7,0.14,0.16,0.18,0.29
29,1,0.1,0.16,0.16,0.24
29,5,0.1,0.07,0.16,0.17
29,8,0.1,0.04,0.11,0.17
30,9,0.27,0.16,0.31,0.39
30,2,0.25,0.16,0.28,0.36
30,6,0.25,0.12,0.24,0.36
30,3,0.24,0.1,0.23,0.36
30,0,0.21,0.1,0.23,0.36
30,4,0.2,0.1,0.23,0.36
30,7,0.19,0.05,0.19,0.32
30,5,0.17,0.05,0.19,0.22
30,8,0.17,0.05,0.16,0.22
30,1,0.15,0.05,0.16,0.21
31,4,0.32,0.22,0.3,0.48
31,9,0.32,0.2,0.3,0.48
31,3,0.31,0.2,0.27,0.48
31,7,0.25,0.17,0.27,0.48
31,6,0.22,0.17,0.27,0.39
31,0,0.19,0.14,0.27,0.38
31,2,0.17,0.13,0.27,0.33
31,1,0.16,0.13,0.25,0.33
31,5,0.15,0.13,0.25,0.33
31,8,0.15,0.09,0.21,0.33
32,4,0.23,0.26,0.34,0.36
32,2,0.22,0.26,0.34,0.32
32,9,0.21,0.26,0.3,0.32
33,9,0.25,0.29,0.37,0.37
33,3,0.24,0.29,0.36,0.37
33,4,0.23,0.26,0.34,0.37
34,3,0.28,0.3,0.29,0.39
34,9,0.28,0.26,0.29,0.39
34,4,0.25,0.26,0.25,0.39
35,9,0.28,0.05,0.21,0.44
36,9,0.33,0.27,0.33,0.46
36,0,0.33,0.22,0.3,0.46
36,3,0.3,0.22,0.3,0.46
36,4,0.28,0.22,0.29,0.46
36,6,0.25,0.21,0.29,0.43
36,1,0.25,0.2,0.29,0.41
36,2,0.21,0.18,0.29,0.41
36,5,0.21,0.11,0.24,0.41
36,7,0.2,0.06,0.24,0.41
36,8,0.18,0.05,0.15,0.33
38,9,0.22,0.15,0.26,0.42
38,2,0.15,0.15,0.23,0.42
38,4,0.15,0.13,0.21,0.42
38,3,0.15,0.09,0.17,0.33
38,5,0.13,0.09,0.17,0.29
38,6,0.13,0.09,0.14,0.29
38,0,0.12,0.09,0.14,0.29
38,8,0.11,0.05,0.14,0.29
38,7,0.1,0.05,0.12,0.29
38,1,0.09,0.05,0.1,0.24
39,4,0.31,0.13,0.23,0.43
39,6,0.27,0.13,0.23,0.41
40,6,0.2,0.18,0.25,0.33
40,9,0.19,0.1,0.25,0.33
41,9,0.34,0.34,0.33,0.5
41,4,0.25,0.34,0.27,0.5
