Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,4,0.37,0.31,0.54,0.54
1,6,0.37,0.26,0.44,0.48
2,4,0.43,0.38,0.48,0.64
4,4,0.37,0.36,0.38,0.45
19,5,0.26,0.26,0.35,0.44
19,4,0.22,0.25,0.35,0.38
20,9,0.33,0.26,0.25,0.51
20,4,0.28,0.14,0.25,0.45
22,4,0.4,0.32,0.32,0.56
26,5,0.25,0.24,0.29,0.36
26,4,0.21,0.22,0.29,0.31
28,5,0.35,0.45,0.41,0.49
34,4,0.29,0.28,0.33,0.35
35,5,0.3,0.08,0.25,0.46
36,4,0.34,0.34,0.39,0.44
38,5,0.26,0.16,0.28,0.41
48,4,0.3,0.12,0.2,0.34
48,8,0.3,0.11,0.17,0.34
49,4,0.2,0.22,0.15,0.38
50,6,0.34,0.21,0.33,0.49
55,4,0.25,0.28,0.3,0.4
62,4,0.36,0.16,0.39,0.42
63,4,0.32,0.36,0.4,0.42
69,5,0.33,0.35,0.36,0.48
69,4,0.33,0.34,0.35,0.43
74,4,0.34,0.32,0.34,0.44
78,9,0.21,0.31,0.17,0.38
79,4,0.22,0.26,0.27,0.37
80,9,0.25,0.34,0.2,0.4
83,4,0.25,0.18,0.33,0.27
85,4,0.36,0.23,0.15,0.51
86,4,0.28,0.35,0.33,0.32
87,4,0.28,0.42,0.5,0.43
88,5,0.32,0.26,0.31,0.44
90,4,0.43,0.31,0.41,0.46
94,4,0.41,0.33,0.42,0.38
95,4,0.34,0.25,0.36,0.44
96,4,0.19,0.24,0.28,0.33
98,8,0.24,0.37,0.39,0.39
98,4,0.23,0.35,0.39,0.33
101,4,0.33,0.2,0.31,0.43
104,4,0.31,0.3,0.44,0.47
112,4,0.32,0.29,0.25,0.56
114,4,0.41,0.45,0.53,0.54
114,6,0.41,0.39,0.43,0.5
115,4,0.44,0.3,0.41,0.54
115,6,0.44,0.28,0.33,0.5
120,9,0.21,0.32,0.16,0.45
120,4,0.2,0.19,0.14,0.37
121,5,0.4,0.39,0.37,0.43
122,4,0.52,0.55,0.59,0.51
122,6,0.52,0.55,0.52,0.47
123,4,0.28,0.24,0.37,0.41
138,4,0.3,0.29,0.31,0.35
138,5,0.3,0.27,0.28,0.35
139,4,0.28,0.24,0.43,0.42
142,4,0.19,0.24,0.23,0.29
142,7,0.19,0.22,0.16,0.27
142,8,0.19,0.21,0.15,0.26
153,4,0.33,0.4,0.42,0.52
154,4,0.29,0.23,0.3,0.27
161,4,0.45,0.43,0.5,0.49
167,5,0.36,0.36,0.39,0.41
173,4,0.3,0.19,0.33,0.37
173,5,0.29,0.15,0.27,0.37
177,4,0.16,0.17,0.34,0.32
180,4,0.45,0.4,0.31,0.68
183,4,0.36,0.4,0.48,0.44
184,4,0.42,0.43,0.47,0.55
184,5,0.42,0.4,0.39,0.54
185,5,0.35,0.34,0.39,0.37
185,4,0.35,0.29,0.38,0.35
188,2,0.33,0.33,0.36,0.3
188,5,0.33,0.29,0.36,0.27
189,5,0.36,0.3,0.35,0.4
191,5,0.33,0.25,0.34,0.44
194,4,0.43,0.29,0.36,0.39
194,6,0.43,0.26,0.3,0.37
194,8,0.35,0.22,0.29,0.37
202,4,0.33,0.26,0.38,0.38
207,4,0.4,0.31,0.39,0.46
215,5,0.37,0.32,0.41,0.4
217,4,0.41,0.5,0.39,0.53
217,9,0.32,0.5,0.29,0.5
220,4,0.47,0.53,0.53,0.48
220,9,0.42,0.53,0.52,0.44
220,6,0.42,0.3,0.38,0.41
227,4,0.39,0.31,0.45,0.4
233,4,0.42,0.38,0.36,0.25
240,4,0.34,0.34,0.35,0.36
242,5,0.24,0.27,0.25,0.38
250,4,0.32,0.17,0.34,0.35
267,9,0.37,0.5,0.41,0.46
270,5,0.34,0.15,0.32,0.42
270,9,0.34,0.11,0.27,0.41
