Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
2,9,0.37,0.38,0.35,0.55
9,2,0.34,0.24,0.33,0.41
12,2,0.35,0.31,0.3,0.39
13,2,0.37,0.3,0.33,0.35
17,2,0.4,0.27,0.36,0.49
17,3,0.28,0.22,0.36,0.49
22,2,0.34,0.28,0.22,0.5
33,2,0.26,0.33,0.37,0.39
34,2,0.36,0.31,0.27,0.39
36,1,0.28,0.24,0.35,0.42
36,9,0.28,0.22,0.35,0.42
36,3,0.27,0.22,0.35,0.42
41,2,0.23,0.33,0.25,0.54
41,9,0.21,0.33,0.25,0.54
41,4,0.18,0.33,0.25,0.5
61,2,0.35,0.11,0.24,0.41
98,2,0.25,0.45,0.33,0.32
98,0,0.23,0.45,0.33,0.32
104,9,0.37,0.23,0.39,0.51
121,2,0.38,0.52,0.39,0.37
131,2,0.3,0.2,0.35,0.37
142,9,0.24,0.34,0.22,0.38
150,2,0.41,0.11,0.27,0.37
153,2,0.26,0.35,0.32,0.5
164,2,0.28,0.42,0.3,0.42
164,9,0.25,0.42,0.3,0.42
164,1,0.21,0.42,0.3,0.38
164,0,0.2,0.42,0.3,0.38
164,8,0.18,0.42,0.3,0.38
164,4,0.17,0.42,0.3,0.38
187,2,0.47,0.48,0.41,0.56
207,2,0.37,0.32,0.31,0.46
217,3,0.34,0.41,0.31,0.49
218,0,0.36,0.31,0.34,0.43
218,9,0.36,0.3,0.28,0.43
219,2,0.34,0.19,0.25,0.39
227,9,0.29,0.24,0.39,0.43
227,2,0.24,0.24,0.39,0.34
227,1,0.22,0.24,0.39,0.33
227,0,0.21,0.24,0.39,0.33
229,2,0.36,0.22,0.2,0.35
273,2,0.37,0.27,0.31,0.42
276,2,0.3,0.34,0.41,0.37
287,2,0.24,0.29,0.35,0.39
287,9,0.23,0.29,0.35,0.39
293,9,0.27,0.35,0.44,0.32
294,3,0.25,0.36,0.37,0.4
312,1,0.27,0.15,0.34,0.43
312,9,0.26,0.14,0.34,0.43
313,9,0.35,0.15,0.35,0.42
330,3,0.31,0.36,0.46,0.36
332,3,0.38,0.31,0.42,0.38
332,9,0.35,0.14,0.28,0.38
388,2,0.29,0.17,0.35,0.34
388,0,0.2,0.17,0.35,0.34
388,9,0.14,0.17,0.35,0.34
389,2,0.33,0.31,0.32,0.41
391,9,0.31,0.26,0.37,0.41
407,2,0.34,0.34,0.29,0.27
418,2,0.32,0.35,0.32,0.36
418,7,0.28,0.35,0.32,0.35
421,7,0.31,0.4,0.34,0.27
421,9,0.31,0.4,0.34,0.27
421,0,0.27,0.4,0.34,0.26
421,2,0.27,0.4,0.34,0.26
421,6,0.27,0.4,0.34,0.26
421,1,0.26,0.4,0.34,0.26
428,2,0.29,0.43,0.33,0.31
428,9,0.25,0.43,0.33,0.3
428,7,0.22,0.43,0.33,0.3
428,1,0.21,0.43,0.33,0.3
428,0,0.19,0.43,0.33,0.3
428,8,0.16,0.43,0.33,0.3
433,2,0.25,0.34,0.34,0.31
433,9,0.23,0.34,0.34,0.3
433,5,0.18,0.34,0.34,0.25
433,4,0.14,0.33,0.34,0.25
435,9,0.23,0.39,0.17,0.33
446,0,0.53,0.66,0.54,0.54
456,0,0.41,0.31,0.38,0.31
480,2,0.31,0.28,0.34,0.44
480,9,0.28,0.21,0.34,0.44
480,3,0.24,0.21,0.34,0.38
480,0,0.23,0.21,0.34,0.38
480,6,0.23,0.21,0.34,0.38
480,1,0.21,0.21,0.34,0.38
480,8,0.21,0.21,0.34,0.38
480,5,0.19,0.21,0.34,0.38
482,2,0.28,0.33,0.29,0.46
491,2,0.34,0.19,0.18,0.39
508,2,0.3,0.22,0.35,0.41
508,9,0.27,0.22,0.35,0.41
509,9,0.33,-0.01,0.32,0.4
510,9,0.37,0.21,0.38,0.5
510,3,0.31,0.21,0.34,0.46
510,0,0.29,0.21,0.34,0.46
510,6,0.28,0.21,0.34,0.46
510,1,0.26,0.21,0.34,0.46
518,2,0.42,0.5,0.46,0.44
519,2,0.43,0.56,0.47,0.48
520,0,0.43,0.46,0.37,0.34
521,2,0.36,0.42,0.35,0.43
522,0,0.46,0.54,0.47,0.42
524,2,0.39,0.25,0.32,0.42
530,0,0.42,0.48,0.41,0.42
541,1,0.28,0.13,0.33,0.4
541,2,0.27,0.11,0.33,0.4
544,0,0.51,0.65,0.53,0.44
552,9,0.36,0.16,0.28,0.47
552,2,0.34,0.16,0.28,0.44
558,2,0.35,0.3,0.33,0.47
562,2,0.35,0.26,0.28,0.38
563,2,0.34,0.14,0.3,0.46
574,9,0.38,-0.01,0.29,0.4
574,0,0.35,-0.01,0.29,0.38
574,2,0.34,-0.01,0.29,0.38
583,9,0.43,0.29,0.38,0.44
585,9,0.39,0.44,0.29,0.5
586,2,0.35,0.15,0.28,0.36
590,9,0.37,0.25,0.18,0.46
592,2,0.26,0.18,0.33,0.45
592,3,0.25,0.18,0.33,0.45
592,0,0.24,0.18,0.33,0.45
592,6,0.22,0.18,0.33,0.45
614,9,0.33,0.22,0.22,0.37
621,3,0.3,0.33,0.35,0.46
623,9,0.3,0.25,0.36,0.39
623,1,0.29,0.25,0.36,0.39
623,2,0.27,0.25,0.36,0.39
623,4,0.26,0.25,0.36,0.39
630,2,0.21,0.37,0.17,0.41
630,9,0.2,0.37,0.17,0.41
630,0,0.16,0.37,0.17,0.34
630,6,0.16,0.37,0.17,0.34
630,3,0.13,0.37,0.17,0.34
656,0,0.26,0.4,0.3,0.39
656,2,0.25,0.4,0.3,0.39
656,9,0.24,0.4,0.3,0.39
671,1,0.37,0.44,0.4,0.3
692,2,0.4,0.32,0.27,0.43
694,2,0.27,0.18,0.34,0.37
694,9,0.27,0.18,0.34,0.37
694,1,0.23,0.18,0.34,0.37
694,6,0.23,0.18,0.34,0.37
694,0,0.21,0.18,0.34,0.37
697,9,0.35,0.24,0.29,0.44
700,3,0.39,0.25,0.38,0.42
702,2,0.35,0.34,0.4,0.38
