Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
5,3,0.33,0.34,0.37,0.44
13,2,0.26,0.36,0.34,0.41
41,7,0.31,0.36,0.36,0.56
65,2,0.39,0.29,0.4,0.49
69,2,0.3,0.39,0.34,0.47
98,9,0.32,0.42,0.36,0.38
158,3,0.39,0.42,0.35,0.57
183,3,0.3,0.4,0.42,0.5
185,9,0.32,0.39,0.39,0.46
192,3,0.4,0.39,0.39,0.52
220,3,0.41,0.37,0.39,0.49
220,7,0.34,0.32,0.37,0.48
233,2,0.36,0.43,0.38,0.27
276,3,0.36,0.31,0.41,0.5
277,3,0.32,0.39,0.44,0.52
277,1,0.29,0.39,0.44,0.52
277,2,0.27,0.39,0.44,0.52
332,3,0.4,0.25,0.34,0.5
383,7,0.33,0.35,0.3,0.51
390,3,0.44,0.45,0.46,0.59
428,7,0.31,0.48,0.4,0.42
440,9,0.42,0.47,0.39,0.45
504,1,0.35,0.32,0.41,0.51
504,2,0.35,0.32,0.41,0.51
524,2,0.33,0.28,0.38,0.48
533,9,0.42,0.5,0.5,0.52
535,0,0.33,0.52,0.42,0.32
544,0,0.48,0.6,0.51,0.39
552,9,0.38,0.2,0.34,0.49
558,2,0.34,0.24,0.34,0.51
571,3,0.38,0.24,0.39,0.37
573,2,0.36,0.22,0.44,0.48
575,2,0.39,0.1,0.37,0.47
581,9,0.42,0.3,0.39,0.57
581,1,0.41,0.3,0.33,0.54
581,2,0.39,0.3,0.33,0.54
583,3,0.34,0.32,0.35,0.47
657,9,0.45,0.37,0.44,0.54
675,1,0.42,0.25,0.36,0.34
681,2,0.41,0.24,0.4,0.48
696,2,0.36,0.31,0.33,0.42
