Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
5,3,0.33,0.34,0.37,0.44
13,2,0.26,0.36,0.34,0.41
13,1,0.25,0.33,0.28,0.41
13,4,0.23,0.33,0.28,0.41
14,2,0.33,0.2,0.27,0.47
31,2,0.34,0.2,0.26,0.42
41,7,0.31,0.36,0.36,0.56
61,2,0.35,0.13,0.31,0.43
62,2,0.31,0.19,0.34,0.5
62,7,0.3,0.19,0.34,0.5
65,2,0.39,0.29,0.4,0.49
65,3,0.35,0.25,0.32,0.49
69,2,0.3,0.39,0.34,0.47
98,9,0.32,0.42,0.36,0.38
104,9,0.29,0.23,0.35,0.46
134,7,0.32,0.32,0.38,0.37
149,9,0.3,0.12,0.36,0.4
149,7,0.28,0.12,0.36,0.33
153,9,0.27,0.35,0.31,0.52
153,2,0.26,0.35,0.31,0.5
153,1,0.25,0.35,0.29,0.5
155,2,0.3,0.22,0.37,0.48
157,3,0.34,0.17,0.21,0.52
158,3,0.39,0.42,0.35,0.57
159,3,0.28,0.29,0.33,0.4
162,1,0.28,0.35,0.28,0.41
164,2,0.28,0.41,0.32,0.46
164,7,0.28,0.41,0.32,0.46
167,1,0.3,0.34,0.31,0.44
167,9,0.27,0.34,0.31,0.44
169,1,0.33,0.38,0.28,0.3
183,3,0.3,0.4,0.42,0.5
185,9,0.32,0.39,0.39,0.46
192,3,0.4,0.39,0.39,0.52
192,1,0.31,0.28,0.36,0.44
192,2,0.31,0.28,0.36,0.44
194,2,0.33,0.22,0.28,0.42
194,7,0.33,0.22,0.28,0.42
198,9,0.33,0.38,0.29,0.31
207,3,0.35,0.27,0.3,0.46
207,2,0.33,0.23,0.3,0.46
220,3,0.41,0.37,0.39,0.49
220,7,0.34,0.32,0.37,0.48
233,2,0.36,0.43,0.38,0.27
275,2,0.32,0.4,0.28,0.4
276,3,0.36,0.31,0.41,0.5
276,1,0.31,0.28,0.41,0.49
276,2,0.28,0.28,0.41,0.49
276,7,0.28,0.28,0.41,0.49
276,9,0.23,0.28,0.41,0.4
277,3,0.32,0.39,0.44,0.52
277,1,0.29,0.39,0.44,0.52
277,2,0.27,0.39,0.44,0.52
313,9,0.3,0.17,0.35,0.51
313,1,0.29,0.17,0.35,0.46
332,3,0.4,0.25,0.34,0.5
383,7,0.33,0.35,0.3,0.51
387,3,0.3,0.3,0.38,0.37
387,2,0.29,0.3,0.38,0.37
388,2,0.24,0.2,0.36,0.34
390,3,0.44,0.45,0.46,0.59
391,3,0.29,0.29,0.37,0.46
391,9,0.29,0.29,0.36,0.46
391,7,0.25,0.29,0.36,0.37
391,4,0.24,0.29,0.36,0.36
391,1,0.21,0.29,0.36,0.36
391,2,0.19,0.29,0.36,0.36
391,5,0.17,0.29,0.36,0.36
391,8,0.16,0.29,0.36,0.36
407,2,0.3,0.34,0.29,0.35
407,7,0.29,0.34,0.29,0.35
407,1,0.28,0.34,0.29,0.35
407,4,0.27,0.34,0.29,0.35
412,2,0.25,0.36,0.25,0.35
412,1,0.24,0.35,0.25,0.35
412,4,0.23,0.35,0.25,0.35
412,7,0.23,0.35,0.25,0.35
424,4,0.24,0.38,0.28,0.35
428,7,0.31,0.48,0.4,0.42
440,9,0.42,0.47,0.39,0.45
458,9,0.37,0.17,0.28,0.39
478,9,0.31,0.13,0.35,0.43
478,3,0.3,0.13,0.35,0.38
479,2,0.41,0.32,0.31,0.59
479,9,0.38,0.32,0.31,0.59
480,2,0.29,0.28,0.4,0.44
498,5,0.28,0.1,0.33,0.43
500,2,0.31,0.22,0.34,0.36
504,1,0.35,0.32,0.41,0.51
504,2,0.35,0.32,0.41,0.51
524,2,0.33,0.28,0.38,0.48
531,9,0.34,0.3,0.28,0.41
531,2,0.33,0.3,0.28,0.37
532,9,0.37,0.21,0.27,0.39
533,9,0.42,0.5,0.5,0.52
535,0,0.33,0.52,0.42,0.32
536,2,0.31,0.31,0.4,0.48
544,0,0.48,0.6,0.51,0.39
546,3,0.31,0.29,0.4,0.38
546,2,0.3,0.29,0.4,0.38
552,9,0.38,0.2,0.34,0.49
558,2,0.34,0.24,0.34,0.51
560,1,0.35,0.1,0.27,0.44
560,2,0.35,0.1,0.27,0.44
560,4,0.33,0.1,0.27,0.44
571,3,0.38,0.24,0.39,0.37
571,2,0.36,0.22,0.39,0.31
573,2,0.36,0.22,0.44,0.48
575,2,0.39,0.1,0.37,0.47
577,2,0.34,0.13,0.31,0.46
578,1,0.39,0.23,0.27,0.51
581,9,0.42,0.3,0.39,0.57
581,1,0.41,0.3,0.33,0.54
581,2,0.39,0.3,0.33,0.54
583,3,0.34,0.32,0.35,0.47
597,3,0.23,0.12,0.34,0.35
603,3,0.33,0.29,0.31,0.37
632,9,0.24,0.34,0.33,0.32
632,3,0.2,0.34,0.33,0.32
632,2,0.19,0.34,0.33,0.32
632,7,0.18,0.34,0.33,0.32
632,5,0.17,0.34,0.33,0.29
632,4,0.15,0.34,0.33,0.29
654,7,0.3,0.11,0.36,0.47
654,2,0.29,0.11,0.36,0.47
654,5,0.27,0.11,0.36,0.47
657,9,0.45,0.37,0.44,0.54
675,1,0.42,0.25,0.36,0.34
681,2,0.41,0.24,0.4,0.48
696,2,0.36,0.31,0.33,0.42
696,9,0.34,0.21,0.3,0.42
701,2,0.32,0.21,0.35,0.42
701,3,0.31,0.21,0.35,0.42
701,1,0.29,0.21,0.35,0.42
701,7,0.29,0.21,0.35,0.42
701,9,0.28,0.21,0.35,0.42
