Attack Pattern,Measure,Max Value,Models
5,9,0.38,"['ATTACK', 'Multilingual']"
194,9,0.38,"['MiniLM', 'Multilingual']"
393,7,0.33,"['MiniLM', 'ATTACK']"
397,7,0.39,"['ATTACK', 'Mpnet']"
427,5,0.33,"['MiniLM', 'Multilingual']"
458,7,0.37,"['MiniLM', 'Mpnet']"
504,6,0.42,"['Mpnet', 'Multilingual']"
511,4,0.5,"['Mpnet', 'Multilingual']"
520,3,0.39,"['MiniLM', 'ATTACK']"
561,8,0.38,"['MiniLM', 'Mpnet']"
652,6,0.34,"['MiniLM', 'Mpnet']"
