Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,6,0.37,0.31,0.54,0.54
50,6,0.34,0.21,0.33,0.49
62,8,0.36,0.16,0.39,0.42
63,4,0.32,0.36,0.4,0.42
74,4,0.34,0.32,0.34,0.44
87,8,0.28,0.42,0.5,0.43
90,4,0.43,0.31,0.41,0.46
95,8,0.34,0.25,0.36,0.44
98,8,0.24,0.37,0.39,0.39
115,6,0.44,0.3,0.41,0.54
115,8,0.39,0.3,0.41,0.54
115,9,0.36,0.3,0.41,0.54
188,2,0.33,0.33,0.36,0.3
189,5,0.36,0.3,0.35,0.4
191,5,0.33,0.25,0.34,0.44
194,6,0.43,0.29,0.36,0.39
202,4,0.33,0.26,0.38,0.38
233,6,0.42,0.38,0.36,0.25
267,9,0.37,0.5,0.41,0.46
309,4,0.39,0.4,0.49,0.53
309,5,0.39,0.33,0.39,0.52
313,8,0.41,0.23,0.38,0.52
401,4,0.39,0.42,0.4,0.49
406,7,0.41,0.49,0.42,0.39
442,5,0.44,0.52,0.53,0.44
443,5,0.41,0.49,0.45,0.33
444,5,0.48,0.51,0.46,0.45
445,5,0.49,0.48,0.46,0.47
446,3,0.62,0.67,0.6,0.5
452,5,0.4,0.41,0.39,0.4
456,5,0.45,0.43,0.49,0.41
472,8,0.33,0.2,0.35,0.51
479,4,0.51,0.38,0.43,0.56
482,8,0.38,0.27,0.36,0.5
524,5,0.37,0.31,0.42,0.45
537,5,0.5,0.42,0.47,0.44
539,5,0.5,0.4,0.46,0.47
541,8,0.44,0.19,0.39,0.45
541,4,0.36,0.19,0.39,0.45
542,5,0.49,0.64,0.53,0.58
549,5,0.41,0.47,0.38,0.47
554,4,0.39,0.54,0.47,0.56
573,5,0.42,0.22,0.43,0.46
583,8,0.36,0.31,0.4,0.55
584,8,0.29,0.33,0.38,0.42
600,9,0.36,0.29,0.35,0.52
600,8,0.34,0.29,0.35,0.52
608,9,0.44,0.49,0.41,0.61
609,9,0.33,0.27,0.34,0.42
644,8,0.34,0.27,0.38,0.46
648,6,0.41,0.26,0.4,0.52
648,4,0.38,0.26,0.4,0.52
648,9,0.36,0.26,0.4,0.52
648,0,0.35,0.26,0.4,0.52
662,4,0.39,0.36,0.46,0.44
665,5,0.42,0.26,0.35,0.46
665,0,0.39,0.26,0.35,0.46
669,5,0.42,0.54,0.48,0.58
670,5,0.51,0.5,0.48,0.49
672,5,0.39,0.37,0.38,0.33
673,5,0.4,0.42,0.4,0.37
673,8,0.35,0.36,0.32,0.35
677,5,0.36,0.37,0.44,0.39
694,4,0.35,0.14,0.39,0.51
698,5,0.35,0.33,0.35,0.42
700,4,0.35,0.26,0.33,0.51
701,4,0.34,0.18,0.43,0.37
