,Measure,Capec Id,MiniLM,ATTACK,GPT,Mpnet,Multilingual,Jaccard
0,T1560.001,Collection,0.43,0.43,0.84,0.51,0.46,0.11
0,T1123,Collection,0.48,0.43,0.86,0.46,0.63,0.08
0,T1119,Collection,0.53,0.55,0.89,0.53,0.68,0.1
0,T1020,Exfiltration,0.72,0.78,0.9,0.64,0.8,0.14
0,T1020.001,Exfiltration,0.5,0.54,0.82,0.45,0.54,0.14
0,T1197,Defense Evasion,0.39,0.08,0.77,0.34,0.37,0.07
0,T1197,Persistence,0.31,0.3,0.77,0.37,0.35,0.06
0,T1547,Persistence,0.57,0.55,0.85,0.52,0.48,0.13
0,T1547,Privilege Escalation,0.61,0.64,0.85,0.54,0.43,0.16
0,T1547.014,Persistence,0.62,0.71,0.83,0.6,0.65,0.12
0,T1547.014,Privilege Escalation,0.59,0.44,0.8,0.47,0.39,0.15
0,T1547.002,Persistence,0.4,0.5,0.79,0.39,0.34,0.07
0,T1547.002,Privilege Escalation,0.45,0.35,0.8,0.41,0.38,0.12
0,T1547.006,Persistence,0.33,0.37,0.78,0.3,0.26,0.06
0,T1547.006,Privilege Escalation,0.51,0.41,0.8,0.4,0.32,0.11
0,T1547.008,Persistence,0.49,0.67,0.8,0.48,0.46,0.14
0,T1547.008,Privilege Escalation,0.55,0.47,0.82,0.41,0.38,0.15
0,T1547.015,Persistence,0.37,0.53,0.78,0.41,0.46,0.08
0,T1547.015,Privilege Escalation,0.4,0.51,0.78,0.45,0.47,0.11
0,T1547.010,Persistence,0.26,0.32,0.73,0.37,0.39,0.1
0,T1547.010,Privilege Escalation,0.34,0.5,0.72,0.41,0.39,0.17
0,T1547.012,Persistence,0.17,0.33,0.76,0.28,0.33,0.07
0,T1547.012,Privilege Escalation,0.33,0.59,0.78,0.39,0.37,0.12
0,T1547.007,Persistence,0.48,0.54,0.81,0.49,0.26,0.07
0,T1547.007,Privilege Escalation,0.36,0.28,0.78,0.37,0.26,0.12
0,T1547.001,Persistence,0.48,0.62,0.82,0.57,0.6,0.1
0,T1547.001,Privilege Escalation,0.44,0.45,0.79,0.47,0.34,0.11
0,T1547.005,Persistence,0.23,0.4,0.78,0.36,0.34,0.11
0,T1547.005,Privilege Escalation,0.37,0.31,0.79,0.4,0.42,0.14
0,T1547.009,Persistence,0.5,0.52,0.82,0.45,0.45,0.12
0,T1547.009,Privilege Escalation,0.51,0.28,0.82,0.39,0.4,0.14
0,T1547.003,Persistence,0.26,0.35,0.76,0.3,0.3,0.08
0,T1547.003,Privilege Escalation,0.39,0.21,0.75,0.29,0.22,0.1
0,T1547.004,Persistence,0.24,0.56,0.77,0.33,0.31,0.09
0,T1547.004,Privilege Escalation,0.4,0.33,0.78,0.36,0.31,0.14
0,T1547.013,Persistence,0.32,0.52,0.77,0.36,0.28,0.11
0,T1547.013,Privilege Escalation,0.37,0.26,0.78,0.34,0.4,0.11
0,T1037,Persistence,0.65,0.78,0.86,0.61,0.57,0.14
0,T1037,Privilege Escalation,0.48,0.46,0.84,0.51,0.36,0.18
0,T1037.002,Persistence,0.46,0.73,0.77,0.64,0.54,0.09
0,T1037.002,Privilege Escalation,0.46,0.42,0.77,0.45,0.33,0.15
0,T1037.001,Persistence,0.58,0.73,0.84,0.58,0.48,0.13
0,T1037.001,Privilege Escalation,0.36,0.34,0.82,0.46,0.27,0.16
0,T1037.003,Persistence,0.54,0.68,0.85,0.53,0.49,0.13
0,T1037.003,Privilege Escalation,0.41,0.46,0.83,0.48,0.35,0.18
0,T1037.004,Persistence,0.61,0.68,0.82,0.6,0.61,0.12
0,T1037.004,Privilege Escalation,0.53,0.44,0.8,0.48,0.38,0.13
0,T1037.005,Persistence,0.46,0.73,0.8,0.55,0.46,0.13
0,T1037.005,Privilege Escalation,0.38,0.42,0.78,0.46,0.25,0.14
0,T1176,Persistence,0.29,0.38,0.8,0.27,0.47,0.1
0,T1217,Discovery,0.43,0.33,0.83,0.39,0.41,0.09
0,T1185,Collection,0.4,0.08,0.82,0.34,0.53,0.1
0,T1110,Credential Access,0.68,0.7,0.9,0.55,0.8,0.12
0,T1110.004,Credential Access,0.7,0.84,0.87,0.65,0.81,0.09
0,T1110.002,Credential Access,0.6,0.71,0.89,0.59,0.76,0.14
0,T1110.001,Credential Access,0.62,0.72,0.84,0.55,0.74,0.09
0,T1110.003,Credential Access,0.52,0.68,0.82,0.48,0.7,0.07
0,T1612,Defense Evasion,0.39,0.23,0.79,0.29,0.42,0.09
0,T1115,Collection,0.45,0.28,0.85,0.29,0.64,0.11
0,T1651,Execution,0.57,0.32,0.87,0.46,0.61,0.09
0,T1580,Discovery,0.28,0.43,0.86,0.48,0.53,0.09
0,T1538,Discovery,0.39,0.36,0.85,0.44,0.49,0.1
0,T1526,Discovery,0.37,0.33,0.84,0.42,0.38,0.12
0,T1619,Discovery,0.35,0.25,0.85,0.34,0.47,0.08
0,T1059,Execution,0.55,0.37,0.87,0.61,0.67,0.11
