,Measure,Capec Id,MiniLM,ATTACK,GPT,Mpnet,Multilingual,Jaccard
0,T1590.003,Reconnaissance,0.59,0.56,0.86,0.57,0.62,0.18
0,T1591,Reconnaissance,0.62,0.7,0.89,0.65,0.72,0.19
0,T1591.002,Reconnaissance,0.64,0.73,0.87,0.65,0.67,0.17
0,T1591.001,Reconnaissance,0.61,0.71,0.86,0.67,0.64,0.19
0,T1591.003,Reconnaissance,0.59,0.72,0.85,0.64,0.62,0.19
0,T1591.004,Reconnaissance,0.62,0.7,0.87,0.65,0.7,0.2
0,T1615,Discovery,0.4,0.35,0.83,0.42,0.43,0.1
0,T1200,Initial Access,0.43,0.27,0.85,0.28,0.51,0.1
0,T1564,Defense Evasion,0.68,0.53,0.89,0.61,0.61,0.14
0,T1564.008,Defense Evasion,0.51,0.28,0.8,0.39,0.46,0.08
0,T1564.012,Defense Evasion,0.57,0.58,0.87,0.62,0.54,0.12
0,T1564.005,Defense Evasion,0.44,0.39,0.82,0.47,0.52,0.11
0,T1564.001,Defense Evasion,0.38,0.45,0.82,0.54,0.5,0.08
0,T1564.002,Defense Evasion,0.38,0.22,0.79,0.39,0.52,0.1
0,T1564.003,Defense Evasion,0.49,0.34,0.82,0.48,0.59,0.1
0,T1564.011,Defense Evasion,0.43,0.2,0.83,0.45,0.61,0.1
0,T1564.004,Defense Evasion,0.36,0.4,0.81,0.4,0.33,0.12
0,T1564.010,Defense Evasion,0.44,0.33,0.8,0.34,0.32,0.1
0,T1564.009,Defense Evasion,0.41,0.48,0.77,0.4,0.34,0.12
0,T1564.006,Defense Evasion,0.57,0.44,0.85,0.49,0.54,0.09
0,T1564.007,Defense Evasion,0.45,0.5,0.79,0.38,0.38,0.08
0,T1665,Command and Control,0.52,0.59,0.85,0.55,0.63,0.11
0,T1574,Defense Evasion,0.61,0.46,0.85,0.53,0.52,0.13
0,T1574,Persistence,0.45,0.3,0.85,0.43,0.64,0.17
0,T1574,Privilege Escalation,0.58,0.52,0.87,0.52,0.51,0.14
0,T1574.014,Defense Evasion,0.49,0.37,0.79,0.4,0.36,0.07
0,T1574.014,Persistence,0.24,0.22,0.77,0.37,0.34,0.1
0,T1574.014,Privilege Escalation,0.4,0.34,0.78,0.42,0.32,0.08
0,T1574.012,Defense Evasion,0.33,0.32,0.77,0.28,0.23,0.08
0,T1574.012,Persistence,0.24,0.27,0.75,0.31,0.31,0.06
0,T1574.012,Privilege Escalation,0.33,0.46,0.78,0.4,0.29,0.1
0,T1574.001,Defense Evasion,0.56,0.33,0.8,0.42,0.38,0.08
0,T1574.001,Persistence,0.34,0.15,0.78,0.32,0.43,0.09
0,T1574.001,Privilege Escalation,0.48,0.2,0.8,0.37,0.4,0.13
0,T1574.002,Defense Evasion,0.55,0.43,0.81,0.43,0.38,0.12
0,T1574.002,Persistence,0.2,0.13,0.78,0.26,0.38,0.11
0,T1574.002,Privilege Escalation,0.42,0.22,0.8,0.36,0.39,0.12
0,T1574.004,Defense Evasion,0.44,0.39,0.77,0.35,0.28,0.08
0,T1574.004,Persistence,0.26,0.13,0.75,0.26,0.25,0.1
0,T1574.004,Privilege Escalation,0.42,0.3,0.78,0.32,0.29,0.11
0,T1574.006,Defense Evasion,0.47,0.35,0.78,0.36,0.27,0.07
0,T1574.006,Persistence,0.31,0.16,0.76,0.27,0.28,0.08
0,T1574.006,Privilege Escalation,0.47,0.24,0.79,0.33,0.32,0.1
0,T1574.005,Defense Evasion,0.48,0.32,0.82,0.44,0.4,0.1
0,T1574.005,Persistence,0.33,0.19,0.81,0.33,0.34,0.12
0,T1574.005,Privilege Escalation,0.6,0.61,0.85,0.5,0.47,0.18
0,T1574.013,Defense Evasion,0.42,0.25,0.76,0.31,0.34,0.09
0,T1574.013,Persistence,0.23,0.18,0.74,0.28,0.37,0.09
0,T1574.013,Privilege Escalation,0.39,0.34,0.76,0.43,0.33,0.09
0,T1574.007,Defense Evasion,0.53,0.34,0.8,0.35,0.41,0.08
0,T1574.007,Persistence,0.28,0.2,0.79,0.28,0.34,0.1
0,T1574.007,Privilege Escalation,0.48,0.27,0.81,0.37,0.41,0.11
0,T1574.008,Defense Evasion,0.48,0.31,0.79,0.39,0.41,0.09
0,T1574.008,Persistence,0.26,0.16,0.77,0.26,0.37,0.08
0,T1574.008,Privilege Escalation,0.43,0.29,0.81,0.4,0.45,0.11
0,T1574.009,Defense Evasion,0.41,0.32,0.81,0.38,0.38,0.1
0,T1574.009,Persistence,0.24,0.28,0.8,0.35,0.37,0.11
0,T1574.009,Privilege Escalation,0.39,0.47,0.83,0.45,0.42,0.16
0,T1574.010,Defense Evasion,0.49,0.18,0.82,0.43,0.4,0.13
0,T1574.010,Persistence,0.37,0.35,0.83,0.42,0.32,0.15
0,T1574.010,Privilege Escalation,0.59,0.61,0.86,0.53,0.48,0.16
0,T1574.011,Defense Evasion,0.53,0.18,0.78,0.4,0.39,0.08
0,T1574.011,Persistence,0.3,0.4,0.8,0.41,0.41,0.11
0,T1574.011,Privilege Escalation,0.52,0.43,0.82,0.44,0.48,0.13
0,T1562,Defense Evasion,0.65,0.43,0.89,0.48,0.65,0.08
0,T1562.002,Defense Evasion,0.41,0.19,0.8,0.33,0.26,0.07
0,T1562.007,Defense Evasion,0.51,0.27,0.83,0.29,0.5,0.1
0,T1562.008,Defense Evasion,0.39,0.22,0.83,0.31,0.53,0.09
0,T1562.012,Defense Evasion,0.49,0.41,0.81,0.48,0.48,0.1
0,T1562.004,Defense Evasion,0.47,0.3,0.84,0.37,0.48,0.08
0,T1562.001,Defense Evasion,0.64,0.53,0.88,0.55,0.61,0.1
0,T1562.010,Defense Evasion,0.53,0.48,0.85,0.43,0.51,0.08
0,T1562.003,Defense Evasion,0.36,0.15,0.77,0.4,0.35,0.08
0,T1562.006,Defense Evasion,0.44,0.36,0.84,0.36,0.53,0.08
0,T1562.009,Defense Evasion,0.47,0.38,0.79,0.39,0.43,0.11
0,T1562.011,Defense Evasion,0.59,0.6,0.86,0.56,0.58,0.11
0,T1656,Defense Evasion,0.51,0.25,0.84,0.45,0.6,0.1
0,T1525,Persistence,0.37,0.47,0.81,0.4,0.52,0.11
0,T1070,Defense Evasion,0.59,0.28,0.85,0.41,0.48,0.13
0,T1070.003,Defense Evasion,0.39,0.02,0.76,0.29,0.39,0.09
0,T1070.002,Defense Evasion,0.35,0.15,0.76,0.36,0.35,0.08
0,T1070.008,Defense Evasion,0.47,0.14,0.83,0.37,0.35,0.1
0,T1070.007,Defense Evasion,0.38,0.05,0.82,0.35,0.47,0.08
0,T1070.009,Defense Evasion,0.44,0.06,0.85,0.43,0.5,0.07
0,T1070.001,Defense Evasion,0.41,0.19,0.8,0.37,0.37,0.1
0,T1070.004,Defense Evasion,0.51,0.11,0.84,0.39,0.52,0.1
0,T1070.005,Defense Evasion,0.32,0.06,0.77,0.34,0.36,0.14
0,T1070.010,Defense Evasion,0.5,0.49,0.83,0.53,0.53,0.1
0,T1070.006,Defense Evasion,0.29,0.32,0.77,0.34,0.3,0.07
0,T1202,Defense Evasion,0.55,0.33,0.83,0.45,0.45,0.1
0,T1105,Command and Control,0.51,0.15,0.84,0.42,0.58,0.12
0,T1490,Impact,0.49,0.39,0.82,0.46,0.6,0.09
0,T1056,Collection,0.45,0.22,0.86,0.42,0.64,0.11
0,T1056,Credential Access,0.65,0.68,0.88,0.56,0.69,0.08
0,T1056.004,Collection,0.29,0.03,0.81,0.32,0.48,0.07
0,T1056.004,Credential Access,0.49,0.59,0.83,0.37,0.64,0.04
0,T1056.002,Collection,0.29,0.01,0.82,0.24,0.44,0.09
0,T1056.002,Credential Access,0.59,0.63,0.86,0.57,0.6,0.09
0,T1056.001,Collection,0.34,0.16,0.84,0.28,0.53,0.08
0,T1056.001,Credential Access,0.61,0.45,0.86,0.47,0.72,0.1
0,T1056.003,Collection,0.39,0.21,0.84,0.32,0.45,0.08
0,T1056.003,Credential Access,0.59,0.65,0.86,0.48,0.62,0.11
0,T1559,Execution,0.56,0.4,0.84,0.57,0.56,0.11
0,T1559.001,Execution,0.59,0.46,0.83,0.6,0.51,0.11
0,T1559.002,Execution,0.45,0.23,0.81,0.44,0.49,0.08
0,T1559.003,Execution,0.45,0.32,0.82,0.43,0.6,0.11
0,T1534,Lateral Movement,0.45,0.35,0.82,0.46,0.52,0.12
0,T1570,Lateral Movement,0.46,0.24,0.87,0.45,0.56,0.15
0,T1654,Discovery,0.49,0.36,0.85,0.6,0.54,0.09
0,T1036,Defense Evasion,0.61,0.55,0.86,0.48,0.58,0.13
0,T1036.009,Defense Evasion,0.45,0.24,0.82,0.38,0.5,0.08
0,T1036.007,Defense Evasion,0.42,0.42,0.78,0.37,0.22,0.09
0,T1036.001,Defense Evasion,0.46,0.51,0.82,0.44,0.44,0.08
0,T1036.010,Defense Evasion,0.34,0.13,0.81,0.34,0.32,0.08
0,T1036.008,Defense Evasion,0.41,0.48,0.81,0.45,0.29,0.09
0,T1036.004,Defense Evasion,0.34,0.22,0.81,0.36,0.29,0.09
0,T1036.005,Defense Evasion,0.47,0.32,0.83,0.44,0.4,0.14
0,T1036.003,Defense Evasion,0.46,0.39,0.85,0.44,0.44,0.14
0,T1036.002,Defense Evasion,0.31,0.39,0.76,0.39,0.19,0.09
0,T1036.006,Defense Evasion,0.47,0.48,0.78,0.46,0.31,0.08
0,T1556,Credential Access,0.66,0.79,0.88,0.59,0.62,0.13
0,T1556,Defense Evasion,0.57,0.13,0.82,0.34,0.4,0.1
0,T1556,Persistence,0.43,0.36,0.84,0.42,0.45,0.13
0,T1556.009,Credential Access,0.35,0.43,0.83,0.4,0.58,0.09
0,T1556.009,Defense Evasion,0.33,0.18,0.8,0.29,0.35,0.1
0,T1556.009,Persistence,0.31,0.48,0.82,0.49,0.47,0.1
0,T1556.001,Credential Access,0.58,0.69,0.85,0.45,0.64,0.11
0,T1556.001,Defense Evasion,0.44,0.09,0.81,0.27,0.46,0.09
0,T1556.001,Persistence,0.43,0.35,0.81,0.41,0.5,0.12
0,T1556.007,Credential Access,0.39,0.6,0.81,0.4,0.6,0.08
0,T1556.007,Defense Evasion,0.26,0.09,0.79,0.25,0.42,0.07
0,T1556.007,Persistence,0.27,0.39,0.8,0.4,0.49,0.1
0,T1556.006,Credential Access,0.43,0.51,0.83,0.34,0.68,0.09
0,T1556.006,Defense Evasion,0.4,0.21,0.82,0.32,0.55,0.07
0,T1556.006,Persistence,0.35,0.36,0.81,0.36,0.59,0.1
0,T1556.004,Credential Access,0.52,0.61,0.82,0.39,0.65,0.12
0,T1556.004,Defense Evasion,0.43,0.07,0.8,0.3,0.46,0.07
0,T1556.004,Persistence,0.32,0.27,0.81,0.37,0.46,0.1
0,T1556.008,Credential Access,0.47,0.65,0.81,0.46,0.47,0.07
0,T1556.008,Defense Evasion,0.32,0.02,0.78,0.29,0.28,0.06
0,T1556.008,Persistence,0.22,0.39,0.78,0.37,0.35,0.08
0,T1556.002,Credential Access,0.55,0.7,0.81,0.45,0.53,0.07
0,T1556.002,Defense Evasion,0.43,0.12,0.78,0.34,0.39,0.06
0,T1556.002,Persistence,0.21,0.25,0.78,0.36,0.38,0.07
0,T1556.003,Credential Access,0.57,0.75,0.83,0.47,0.48,0.14
0,T1556.003,Defense Evasion,0.46,0.05,0.79,0.23,0.25,0.08
0,T1556.003,Persistence,0.42,0.28,0.81,0.32,0.32,0.13
0,T1556.005,Credential Access,0.48,0.6,0.76,0.39,0.67,0.08
0,T1556.005,Defense Evasion,0.27,0.15,0.73,0.17,0.48,0.07
0,T1556.005,Persistence,0.17,0.24,0.74,0.26,0.46,0.08
0,T1578,Defense Evasion,0.41,0.3,0.83,0.39,0.54,0.13
0,T1578.002,Defense Evasion,0.31,0.18,0.81,0.32,0.53,0.11
0,T1578.001,Defense Evasion,0.34,0.13,0.81,0.3,0.53,0.12
0,T1578.003,Defense Evasion,0.31,0.06,0.83,0.24,0.45,0.12
0,T1578.005,Defense Evasion,0.39,0.2,0.83,0.3,0.47,0.09
0,T1578.004,Defense Evasion,0.19,0.15,0.83,0.32,0.43,0.08
0,T1666,Defense Evasion,0.36,0.17,0.79,0.33,0.42,0.07
0,T1112,Defense Evasion,0.4,0.23,0.82,0.35,0.42,0.1
0,T1601,Defense Evasion,0.46,0.26,0.83,0.32,0.41,0.09
0,T1601.002,Defense Evasion,0.41,0.35,0.84,0.3,0.43,0.07
0,T1601.001,Defense Evasion,0.5,0.21,0.82,0.33,0.42,0.06
0,T1111,Credential Access,0.5,0.53,0.84,0.29,0.66,0.09
0,T1621,Credential Access,0.5,0.57,0.83,0.39,0.68,0.09
0,T1104,Command and Control,0.56,0.4,0.84,0.58,0.7,0.12
0,T1106,Execution,0.5,0.32,0.84,0.54,0.58,0.08
0,T1599,Defense Evasion,0.52,0.29,0.82,0.34,0.54,0.09
0,T1599.001,Defense Evasion,0.47,0.37,0.81,0.4,0.41,0.1
0,T1498,Impact,0.5,0.45,0.84,0.5,0.66,0.13
0,T1498.001,Impact,0.43,0.37,0.81,0.4,0.61,0.13
0,T1498.002,Impact,0.53,0.42,0.81,0.45,0.65,0.11
0,T1046,Discovery,0.45,0.47,0.88,0.59,0.49,0.11
0,T1135,Discovery,0.38,0.37,0.83,0.49,0.35,0.1
0,T1040,Credential Access,0.45,0.33,0.82,0.38,0.43,0.07
0,T1040,Discovery,0.43,0.4,0.84,0.53,0.56,0.11
0,T1095,Command and Control,0.49,0.57,0.82,0.5,0.46,0.12
0,T1571,Command and Control,0.4,0.48,0.83,0.36,0.42,0.14
0,T1003,Credential Access,0.71,0.81,0.92,0.71,0.81,0.13
0,T1003.008,Credential Access,0.37,0.6,0.79,0.38,0.52,0.1
0,T1003.005,Credential Access,0.52,0.71,0.84,0.47,0.56,0.11
0,T1003.006,Credential Access,0.54,0.7,0.79,0.46,0.59,0.1
0,T1003.004,Credential Access,0.57,0.57,0.85,0.43,0.51,0.11
0,T1003.001,Credential Access,0.51,0.45,0.81,0.43,0.57,0.06
0,T1003.003,Credential Access,0.34,0.43,0.82,0.41,0.47,0.15
0,T1003.007,Credential Access,0.33,0.53,0.8,0.46,0.29,0.08
0,T1003.002,Credential Access,0.51,0.64,0.82,0.59,0.53,0.11
0,T1027,Defense Evasion,0.61,0.64,0.87,0.61,0.71,0.1
0,T1027.001,Defense Evasion,0.53,0.38,0.79,0.39,0.37,0.14
0,T1027.010,Defense Evasion,0.57,0.51,0.84,0.55,0.65,0.08
0,T1027.004,Defense Evasion,0.57,0.64,0.81,0.51,0.48,0.07
0,T1027.007,Defense Evasion,0.6,0.59,0.83,0.49,0.56,0.09
0,T1027.009,Defense Evasion,0.61,0.54,0.84,0.5,0.54,0.08
0,T1027.013,Defense Evasion,0.59,0.47,0.85,0.53,0.67,0.08
0,T1027.011,Defense Evasion,0.37,0.28,0.82,0.43,0.29,0.1
0,T1027.006,Defense Evasion,0.48,0.36,0.8,0.43,0.38,0.08
0,T1027.005,Defense Evasion,0.52,0.48,0.86,0.49,0.54,0.14
0,T1027.012,Defense Evasion,0.46,0.25,0.77,0.39,0.38,0.09
0,T1027.014,Defense Evasion,0.63,0.77,0.83,0.6,0.49,0.1
0,T1027.002,Defense Evasion,0.55,0.61,0.83,0.5,0.5,0.12
0,T1027.003,Defense Evasion,0.61,0.48,0.83,0.53,0.57,0.1
0,T1027.008,Defense Evasion,0.54,0.6,0.81,0.49,0.37,0.11
0,T1588,Resource Development,0.55,0.61,0.89,0.67,0.7,0.15
0,T1588.007,Resource Development,0.57,0.45,0.81,0.45,0.6,0.16
0,T1588.003,Resource Development,0.4,0.34,0.81,0.41,0.37,0.19
0,T1588.004,Resource Development,0.37,0.43,0.83,0.4,0.42,0.14
0,T1588.005,Resource Development,0.53,0.52,0.85,0.56,0.67,0.13
0,T1588.001,Resource Development,0.52,0.53,0.86,0.53,0.57,0.15
0,T1588.002,Resource Development,0.47,0.45,0.86,0.52,0.62,0.15
0,T1588.006,Resource Development,0.49,0.43,0.83,0.5,0.55,0.14
0,T1137,Persistence,0.57,0.67,0.84,0.56,0.6,0.16
0,T1137.006,Persistence,0.4,0.64,0.82,0.48,0.45,0.1
0,T1137.001,Persistence,0.35,0.45,0.76,0.4,0.51,0.1
0,T1137.002,Persistence,0.25,0.54,0.77,0.38,0.47,0.11
0,T1137.003,Persistence,0.31,0.55,0.78,0.42,0.53,0.13
0,T1137.004,Persistence,0.34,0.56,0.78,0.42,0.52,0.13
0,T1137.005,Persistence,0.33,0.61,0.8,0.45,0.55,0.09
0,T1201,Discovery,0.26,0.21,0.81,0.41,0.37,0.12
0,T1120,Discovery,0.59,0.4,0.86,0.58,0.5,0.13
0,T1069,Discovery,0.58,0.44,0.86,0.52,0.55,0.16
0,T1069.003,Discovery,0.17,0.2,0.79,0.26,0.4,0.11
0,T1069.002,Discovery,0.46,0.31,0.83,0.48,0.51,0.11
0,T1069.001,Discovery,0.52,0.29,0.84,0.55,0.53,0.12
0,T1566,Initial Access,0.35,0.35,0.85,0.36,0.44,0.11
0,T1598,Reconnaissance,0.45,0.49,0.83,0.39,0.45,0.11
0,T1598.002,Reconnaissance,0.53,0.52,0.81,0.54,0.54,0.14
0,T1598.003,Reconnaissance,0.36,0.43,0.81,0.4,0.53,0.08
0,T1598.001,Reconnaissance,0.47,0.56,0.82,0.52,0.54,0.12
0,T1598.004,Reconnaissance,0.44,0.45,0.83,0.51,0.56,0.15
0,T1566.001,Initial Access,0.38,0.24,0.84,0.33,0.43,0.1
0,T1566.002,Initial Access,0.43,0.26,0.84,0.39,0.41,0.1
0,T1566.004,Initial Access,0.36,0.34,0.83,0.4,0.41,0.12
0,T1566.003,Initial Access,0.42,0.33,0.85,0.38,0.43,0.12
0,T1647,Defense Evasion,0.4,0.35,0.79,0.38,0.29,0.09
0,T1653,Persistence,0.43,0.44,0.85,0.46,0.58,0.11
0,T1542,Defense Evasion,0.53,0.18,0.82,0.39,0.34,0.09
0,T1542,Persistence,0.46,0.64,0.84,0.5,0.48,0.11
0,T1542.003,Defense Evasion,0.45,0.16,0.8,0.3,0.35,0.07
0,T1542.003,Persistence,0.43,0.36,0.8,0.34,0.47,0.1
0,T1542.002,Defense Evasion,0.57,0.2,0.84,0.33,0.49,0.08
0,T1542.002,Persistence,0.53,0.37,0.86,0.39,0.62,0.15
0,T1542.004,Defense Evasion,0.44,0.21,0.78,0.29,0.31,0.09
0,T1542.004,Persistence,0.37,0.36,0.79,0.39,0.43,0.11
0,T1542.001,Defense Evasion,0.45,0.17,0.83,0.28,0.26,0.09
0,T1542.001,Persistence,0.42,0.33,0.84,0.33,0.43,0.1
0,T1542.005,Defense Evasion,0.44,0.13,0.77,0.22,0.32,0.09
0,T1542.005,Persistence,0.33,0.3,0.79,0.28,0.34,0.1
0,T1057,Discovery,0.57,0.32,0.85,0.65,0.65,0.14
0,T1055,Defense Evasion,0.59,0.36,0.85,0.43,0.48,0.12
0,T1055,Privilege Escalation,0.5,0.42,0.85,0.48,0.51,0.11
0,T1055.004,Defense Evasion,0.5,0.24,0.79,0.35,0.34,0.08
0,T1055.004,Privilege Escalation,0.49,0.43,0.8,0.44,0.4,0.09
0,T1055.001,Defense Evasion,0.38,0.36,0.8,0.41,0.3,0.07
0,T1055.001,Privilege Escalation,0.38,0.37,0.79,0.43,0.35,0.09
0,T1055.011,Defense Evasion,0.44,0.26,0.8,0.37,0.35,0.08
0,T1055.011,Privilege Escalation,0.42,0.44,0.8,0.46,0.47,0.09
0,T1055.015,Defense Evasion,0.46,0.25,0.75,0.36,0.4,0.1
0,T1055.015,Privilege Escalation,0.38,0.48,0.77,0.46,0.45,0.08
0,T1055.002,Defense Evasion,0.47,0.25,0.82,0.38,0.33,0.08
0,T1055.002,Privilege Escalation,0.46,0.45,0.82,0.48,0.37,0.09
0,T1055.009,Defense Evasion,0.46,0.22,0.78,0.33,0.36,0.08
0,T1055.009,Privilege Escalation,0.39,0.38,0.8,0.44,0.38,0.07
0,T1055.013,Defense Evasion,0.35,0.25,0.78,0.37,0.4,0.08
0,T1055.013,Privilege Escalation,0.36,0.47,0.77,0.43,0.36,0.08
0,T1055.012,Defense Evasion,0.38,0.26,0.78,0.32,0.52,0.08
0,T1055.012,Privilege Escalation,0.36,0.49,0.79,0.44,0.42,0.09
0,T1055.008,Defense Evasion,0.43,0.23,0.78,0.33,0.37,0.08
0,T1055.008,Privilege Escalation,0.4,0.45,0.8,0.46,0.41,0.1
0,T1055.003,Defense Evasion,0.47,0.26,0.8,0.35,0.41,0.07
0,T1055.003,Privilege Escalation,0.43,0.5,0.81,0.48,0.41,0.09
0,T1055.005,Defense Evasion,0.51,0.3,0.8,0.35,0.41,0.11
0,T1055.005,Privilege Escalation,0.47,0.47,0.81,0.45,0.39,0.1
0,T1055.014,Defense Evasion,0.48,0.3,0.8,0.37,0.45,0.07
0,T1055.014,Privilege Escalation,0.49,0.5,0.81,0.48,0.4,0.09
0,T1572,Command and Control,0.54,0.55,0.84,0.49,0.62,0.13
0,T1090,Command and Control,0.53,0.62,0.87,0.65,0.6,0.16
0,T1090.004,Command and Control,0.19,0.48,0.77,0.33,0.42,0.08
0,T1090.002,Command and Control,0.5,0.59,0.85,0.61,0.57,0.18
0,T1090.001,Command and Control,0.51,0.59,0.86,0.57,0.63,0.15
0,T1090.003,Command and Control,0.45,0.56,0.84,0.45,0.58,0.11
0,T1012,Discovery,0.55,0.41,0.85,0.54,0.49,0.13
0,T1620,Defense Evasion,0.49,0.39,0.79,0.42,0.43,0.07
0,T1219,Command and Control,0.5,0.21,0.83,0.44,0.65,0.14
0,T1563,Lateral Movement,0.43,0.52,0.85,0.55,0.65,0.13
0,T1563.002,Lateral Movement,0.43,0.48,0.83,0.5,0.63,0.16
0,T1563.001,Lateral Movement,0.45,0.53,0.86,0.42,0.46,0.14
0,T1021,Lateral Movement,0.45,0.62,0.83,0.48,0.5,0.12
0,T1021.007,Lateral Movement,0.34,0.41,0.83,0.39,0.46,0.12
0,T1021.008,Lateral Movement,0.37,0.39,0.83,0.33,0.36,0.11
0,T1021.003,Lateral Movement,0.37,0.41,0.8,0.42,0.51,0.11
0,T1021.001,Lateral Movement,0.47,0.59,0.82,0.48,0.53,0.16
0,T1021.002,Lateral Movement,0.43,0.45,0.83,0.48,0.47,0.14
0,T1021.004,Lateral Movement,0.38,0.53,0.84,0.47,0.4,0.14
0,T1021.005,Lateral Movement,0.43,0.49,0.81,0.38,0.46,0.11
0,T1021.006,Lateral Movement,0.37,0.46,0.81,0.45,0.48,0.15
0,T1018,Discovery,0.54,0.59,0.88,0.66,0.49,0.14
0,T1091,Initial Access,0.36,0.14,0.83,0.16,0.54,0.13
0,T1091,Lateral Movement,0.42,0.18,0.88,0.27,0.71,0.12
0,T1496,Impact,0.55,0.37,0.87,0.49,0.63,0.1
0,T1496.002,Impact,0.53,0.33,0.85,0.45,0.6,0.13
0,T1496.004,Impact,0.52,0.31,0.85,0.41,0.6,0.11
0,T1496.001,Impact,0.49,0.41,0.84,0.39,0.61,0.1
0,T1496.003,Impact,0.32,0.21,0.79,0.4,0.52,0.12
0,T1207,Defense Evasion,0.44,0.07,0.79,0.3,0.38,0.07
0,T1014,Defense Evasion,0.57,0.46,0.83,0.51,0.49,0.12
0,T1053,Execution,0.64,0.28,0.85,0.55,0.65,0.14
0,T1053,Persistence,0.35,0.35,0.8,0.36,0.41,0.1
0,T1053,Privilege Escalation,0.59,0.41,0.83,0.47,0.35,0.14
0,T1053.002,Execution,0.43,0.18,0.81,0.52,0.66,0.13
0,T1053.002,Persistence,0.18,0.34,0.75,0.37,0.41,0.09
0,T1053.002,Privilege Escalation,0.46,0.44,0.79,0.46,0.37,0.12
0,T1053.007,Execution,0.39,0.11,0.81,0.38,0.47,0.14
0,T1053.007,Persistence,0.32,0.26,0.77,0.29,0.36,0.15
0,T1053.007,Privilege Escalation,0.38,0.17,0.76,0.3,0.24,0.14
0,T1053.003,Execution,0.48,0.16,0.83,0.47,0.56,0.17
0,T1053.003,Persistence,0.39,0.39,0.79,0.37,0.29,0.12
0,T1053.003,Privilege Escalation,0.39,0.27,0.79,0.36,0.21,0.15
0,T1053.005,Execution,0.53,0.2,0.84,0.51,0.6,0.11
0,T1053.005,Persistence,0.24,0.33,0.78,0.3,0.36,0.08
0,T1053.005,Privilege Escalation,0.41,0.36,0.81,0.37,0.29,0.1
0,T1053.006,Execution,0.42,0.1,0.8,0.42,0.54,0.14
0,T1053.006,Persistence,0.23,0.31,0.76,0.31,0.37,0.1
0,T1053.006,Privilege Escalation,0.34,0.28,0.78,0.37,0.29,0.12
0,T1029,Exfiltration,0.71,0.8,0.9,0.72,0.73,0.14
0,T1113,Collection,0.47,0.37,0.84,0.41,0.57,0.11
0,T1597,Reconnaissance,0.55,0.72,0.87,0.71,0.61,0.16
0,T1597.002,Reconnaissance,0.6,0.74,0.86,0.69,0.63,0.14
0,T1597.001,Reconnaissance,0.6,0.73,0.86,0.72,0.6,0.17
0,T1596,Reconnaissance,0.54,0.73,0.87,0.72,0.54,0.16
0,T1596.004,Reconnaissance,0.57,0.75,0.84,0.56,0.49,0.13
0,T1596.001,Reconnaissance,0.56,0.6,0.85,0.52,0.53,0.14
0,T1596.003,Reconnaissance,0.52,0.63,0.81,0.56,0.46,0.16
0,T1596.005,Reconnaissance,0.62,0.8,0.86,0.75,0.62,0.15
0,T1596.002,Reconnaissance,0.55,0.66,0.83,0.6,0.57,0.17
0,T1593,Reconnaissance,0.54,0.71,0.88,0.66,0.56,0.15
0,T1593.003,Reconnaissance,0.48,0.62,0.82,0.45,0.52,0.14
0,T1593.002,Reconnaissance,0.58,0.71,0.85,0.58,0.55,0.15
0,T1593.001,Reconnaissance,0.55,0.63,0.85,0.54,0.62,0.2
0,T1594,Reconnaissance,0.54,0.73,0.85,0.61,0.52,0.16
0,T1505,Persistence,0.39,0.36,0.85,0.49,0.55,0.13
0,T1505.004,Persistence,0.24,0.33,0.78,0.4,0.5,0.07
0,T1505.001,Persistence,0.44,0.52,0.81,0.46,0.53,0.12
0,T1505.005,Persistence,0.29,0.47,0.78,0.43,0.4,0.08
0,T1505.002,Persistence,0.3,0.5,0.78,0.48,0.46,0.11
0,T1505.003,Persistence,0.28,0.31,0.82,0.43,0.46,0.12
0,T1648,Execution,0.47,0.23,0.83,0.41,0.62,0.1
0,T1489,Impact,0.59,0.56,0.87,0.55,0.74,0.14
0,T1129,Execution,0.42,0.26,0.8,0.48,0.57,0.15
0,T1072,Execution,0.46,0.43,0.85,0.54,0.55,0.13
0,T1072,Lateral Movement,0.42,0.46,0.86,0.45,0.52,0.13
0,T1518,Discovery,0.59,0.47,0.89,0.65,0.6,0.14
0,T1518.001,Discovery,0.61,0.54,0.88,0.65,0.6,0.13
0,T1608,Resource Development,0.51,0.66,0.85,0.67,0.7,0.14
0,T1608.004,Resource Development,0.47,0.4,0.84,0.48,0.49,0.1
0,T1608.003,Resource Development,0.31,0.41,0.81,0.43,0.39,0.15
0,T1608.005,Resource Development,0.57,0.45,0.84,0.52,0.64,0.11
0,T1608.006,Resource Development,0.38,0.51,0.81,0.49,0.47,0.09
0,T1608.001,Resource Development,0.51,0.31,0.84,0.41,0.49,0.11
0,T1608.002,Resource Development,0.53,0.38,0.85,0.49,0.61,0.11
0,T1528,Credential Access,0.51,0.41,0.86,0.49,0.64,0.07
0,T1539,Credential Access,0.55,0.37,0.83,0.28,0.52,0.08
0,T1649,Credential Access,0.5,0.4,0.84,0.48,0.68,0.07
0,T1558,Credential Access,0.51,0.52,0.82,0.47,0.46,0.1
0,T1558.004,Credential Access,0.52,0.71,0.8,0.42,0.61,0.09
0,T1558.005,Credential Access,0.47,0.65,0.81,0.53,0.53,0.11
0,T1558.001,Credential Access,0.45,0.64,0.81,0.42,0.5,0.09
