Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,8,0.51,0.49,0.64,0.61
6,0,0.35,0.23,0.39,0.44
122,8,0.58,0.72,0.66,0.58
149,0,0.33,0.22,0.34,0.45
158,4,0.33,0.28,0.34,0.53
203,4,0.36,0.3,0.37,0.49
227,8,0.36,0.37,0.45,0.46
278,0,0.35,0.32,0.4,0.39
330,4,0.34,0.26,0.33,0.45
383,0,0.29,0.33,0.33,0.49
383,4,0.29,0.33,0.33,0.49
383,5,0.29,0.33,0.33,0.49
383,8,0.27,0.33,0.33,0.49
383,3,0.25,0.33,0.33,0.49
383,9,0.25,0.33,0.33,0.49
383,6,0.23,0.33,0.33,0.49
508,9,0.34,0.26,0.36,0.39
520,3,0.36,0.43,0.31,0.34
538,4,0.36,0.34,0.27,0.42
564,9,0.36,0.31,0.4,0.4
564,4,0.33,0.31,0.4,0.4
574,4,0.45,0.09,0.41,0.46
574,5,0.44,0.09,0.41,0.46
574,0,0.42,0.09,0.41,0.46
574,9,0.37,0.09,0.41,0.46
574,6,0.35,0.09,0.41,0.46
574,8,0.34,0.09,0.41,0.46
574,3,0.33,0.09,0.41,0.46
576,8,0.35,0.31,0.38,0.42
593,9,0.33,0.26,0.35,0.55
633,8,0.35,0.26,0.41,0.44
639,8,0.32,0.37,0.33,0.43
646,5,0.41,0.18,0.35,0.46
680,8,0.4,0.47,0.47,0.47
