Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,4,0.37,0.31,0.54,0.54
1,6,0.37,0.26,0.44,0.48
1,0,0.29,0.26,0.43,0.47
1,5,0.29,0.26,0.43,0.47
1,8,0.29,0.26,0.41,0.46
1,7,0.26,0.26,0.4,0.45
1,9,0.26,0.2,0.36,0.4
1,2,0.18,0.2,0.27,0.35
1,3,0.18,0.2,0.24,0.33
1,1,0.14,0.2,0.24,0.24
2,4,0.43,0.38,0.48,0.64
2,8,0.43,0.33,0.34,0.55
2,6,0.39,0.33,0.34,0.51
3,9,0.11,0.25,0.13,0.27
3,4,0.11,0.17,0.08,0.27
4,4,0.37,0.36,0.38,0.45
4,8,0.37,0.22,0.3,0.43
4,9,0.32,0.22,0.3,0.35
5,9,0.39,0.41,0.41,0.44
5,4,0.39,0.3,0.34,0.44
5,6,0.39,0.3,0.34,0.44
5,8,0.36,0.26,0.3,0.44
5,0,0.34,0.26,0.3,0.4
7,4,0.32,0.29,0.28,0.27
9,5,0.31,0.25,0.32,0.44
9,4,0.3,0.25,0.31,0.44
9,8,0.3,0.25,0.29,0.43
9,6,0.27,0.25,0.27,0.43
9,7,0.26,0.25,0.27,0.35
9,0,0.24,0.25,0.24,0.34
9,1,0.24,0.17,0.22,0.33
9,9,0.24,0.16,0.22,0.33
9,2,0.23,0.12,0.16,0.33
9,3,0.17,0.12,0.1,0.33
10,5,0.32,0.25,0.27,0.41
10,4,0.32,0.25,0.27,0.36
10,8,0.32,0.22,0.2,0.36
10,9,0.27,0.22,0.19,0.36
10,0,0.25,0.22,0.17,0.36
10,6,0.22,0.19,0.16,0.36
10,7,0.21,0.19,0.16,0.33
10,2,0.2,0.19,0.11,0.31
10,3,0.17,0.19,0.11,0.29
10,1,0.12,0.12,0.11,0.18
11,4,0.24,0.22,0.35,0.38
12,8,0.4,0.3,0.27,0.45
12,4,0.35,0.3,0.27,0.42
12,9,0.32,0.3,0.25,0.42
12,6,0.32,0.25,0.19,0.42
12,5,0.28,0.23,0.19,0.42
12,7,0.27,0.23,0.16,0.42
12,0,0.23,0.2,0.16,0.3
12,3,0.21,0.2,0.12,0.25
12,1,0.21,0.16,0.09,0.25
12,2,0.21,0.14,0.08,0.23
13,5,0.29,0.33,0.33,0.43
13,4,0.24,0.33,0.33,0.36
14,4,0.35,0.19,0.28,0.43
14,5,0.35,0.16,0.28,0.43
14,8,0.35,0.14,0.24,0.43
14,9,0.31,0.14,0.23,0.43
14,7,0.27,0.13,0.18,0.43
14,6,0.26,0.13,0.17,0.4
14,1,0.21,0.13,0.17,0.29
14,0,0.21,0.11,0.15,0.29
14,2,0.21,0.06,0.09,0.29
14,3,0.17,0.06,0.07,0.21
15,8,0.32,0.29,0.29,0.51
15,4,0.28,0.29,0.29,0.47
15,0,0.28,0.26,0.23,0.47
15,5,0.28,0.25,0.22,0.47
15,6,0.28,0.25,0.22,0.45
15,7,0.26,0.25,0.22,0.44
15,9,0.26,0.2,0.18,0.37
15,2,0.22,0.2,0.18,0.3
15,3,0.17,0.2,0.18,0.28
15,1,0.16,0.2,0.18,0.2
17,4,0.36,0.25,0.49,0.49
17,5,0.36,0.25,0.42,0.45
17,8,0.36,0.25,0.37,0.44
17,0,0.32,0.25,0.35,0.44
17,6,0.32,0.21,0.35,0.44
17,7,0.31,0.2,0.34,0.44
17,9,0.3,0.2,0.34,0.36
17,2,0.3,0.2,0.27,0.34
17,3,0.18,0.2,0.27,0.29
17,1,0.17,0.2,0.27,0.18
18,4,0.3,0.22,0.19,0.44
18,5,0.3,0.18,0.18,0.44
18,8,0.3,0.18,0.16,0.39
18,0,0.22,0.18,0.16,0.38
18,7,0.22,0.16,0.16,0.38
18,1,0.21,0.16,0.16,0.35
18,6,0.21,0.16,0.13,0.35
18,9,0.21,0.15,0.1,0.34
