Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
34,4,0.29,0.28,0.33,0.35
86,4,0.28,0.35,0.33,0.32
88,5,0.32,0.26,0.31,0.44
104,4,0.31,0.3,0.44,0.47
120,9,0.21,0.32,0.16,0.45
139,4,0.28,0.24,0.43,0.42
180,4,0.45,0.4,0.31,0.68
207,4,0.4,0.31,0.39,0.46
215,5,0.37,0.32,0.41,0.4
227,4,0.39,0.31,0.45,0.4
267,9,0.37,0.5,0.41,0.46
275,4,0.29,0.29,0.31,0.37
293,4,0.36,0.22,0.43,0.36
300,4,0.37,0.21,0.34,0.46
301,4,0.32,0.22,0.31,0.46
305,4,0.4,0.29,0.38,0.47
309,4,0.39,0.4,0.49,0.53
309,5,0.39,0.33,0.39,0.52
309,8,0.39,0.32,0.37,0.52
323,5,0.31,0.18,0.29,0.43
324,5,0.33,0.21,0.31,0.39
401,4,0.39,0.42,0.4,0.49
406,7,0.41,0.49,0.42,0.39
442,5,0.44,0.52,0.53,0.44
443,5,0.41,0.49,0.45,0.33
444,5,0.48,0.51,0.46,0.45
445,5,0.49,0.48,0.46,0.47
446,3,0.62,0.67,0.6,0.5
452,5,0.4,0.41,0.39,0.4
456,5,0.45,0.43,0.49,0.41
466,4,0.32,0.28,0.24,0.45
479,4,0.51,0.38,0.43,0.56
480,4,0.38,0.31,0.47,0.45
489,4,0.3,0.4,0.43,0.49
537,5,0.5,0.42,0.47,0.44
539,5,0.5,0.4,0.46,0.47
542,5,0.49,0.64,0.53,0.58
549,5,0.41,0.47,0.38,0.47
554,4,0.39,0.54,0.47,0.56
563,4,0.28,0.12,0.31,0.35
608,9,0.44,0.49,0.41,0.61
611,4,0.31,0.33,0.27,0.41
611,8,0.31,0.26,0.22,0.4
630,4,0.19,0.32,0.23,0.34
640,5,0.4,0.22,0.31,0.47
642,5,0.33,0.22,0.31,0.48
662,4,0.39,0.36,0.46,0.44
668,9,0.37,0.39,0.22,0.5
669,5,0.42,0.54,0.48,0.58
670,5,0.51,0.5,0.48,0.49
671,5,0.38,0.38,0.42,0.31
672,5,0.39,0.37,0.38,0.33
673,5,0.4,0.42,0.4,0.37
674,5,0.37,0.35,0.35,0.32
677,5,0.36,0.37,0.44,0.39
691,5,0.36,0.3,0.33,0.44
695,5,0.31,0.29,0.34,0.36
696,5,0.4,0.3,0.32,0.42
697,4,0.32,0.2,0.26,0.37
698,5,0.35,0.33,0.35,0.42
