Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,2,0.26,0.23,0.39,0.49
2,9,0.37,0.38,0.35,0.55
4,3,0.3,0.34,0.33,0.39
4,9,0.28,0.31,0.27,0.37
7,2,0.32,0.21,0.2,0.27
8,2,0.41,0.4,0.32,0.51
10,2,0.36,0.22,0.26,0.34
21,9,0.27,0.07,0.26,0.4
26,2,0.24,0.16,0.26,0.26
28,2,0.28,0.37,0.28,0.36
44,2,0.24,0.17,0.2,0.33
45,2,0.27,0.16,0.18,0.38
57,3,0.32,0.34,0.36,0.47
84,2,0.25,0.16,0.21,0.28
85,2,0.27,0.19,0.13,0.46
100,2,0.21,0.26,0.25,0.27
109,2,0.25,0.1,0.09,0.39
121,2,0.38,0.52,0.39,0.37
124,2,0.34,0.21,0.35,0.35
133,2,0.31,0.38,0.35,0.42
159,2,0.31,0.3,0.32,0.38
162,0,0.31,0.31,0.25,0.38
173,9,0.33,0.23,0.34,0.41
175,2,0.3,0.27,0.29,0.28
180,2,0.41,0.24,0.21,0.56
187,2,0.47,0.48,0.41,0.56
198,2,0.39,0.39,0.32,0.4
222,9,0.24,0.09,0.22,0.31
233,2,0.37,0.5,0.39,0.29
242,2,0.3,0.22,0.23,0.36
270,9,0.31,0.07,0.22,0.4
297,3,0.22,0.2,0.15,0.34
298,3,0.25,0.22,0.19,0.33
300,3,0.42,0.27,0.37,0.48
301,3,0.27,0.27,0.32,0.43
302,3,0.34,0.32,0.29,0.42
303,3,0.35,0.31,0.3,0.43
304,3,0.3,0.29,0.25,0.43
306,3,0.22,0.22,0.36,0.35
308,3,0.35,0.27,0.39,0.38
317,3,0.23,0.23,0.28,0.21
318,3,0.21,0.26,0.29,0.25
320,3,0.23,0.19,0.26,0.26
331,3,0.31,0.39,0.4,0.44
420,2,0.27,0.4,0.29,0.33
434,2,0.18,0.45,0.24,0.28
446,0,0.53,0.66,0.54,0.54
465,3,0.2,0.3,0.23,0.43
486,3,0.33,0.35,0.25,0.39
486,9,0.29,0.2,0.23,0.39
489,3,0.27,0.39,0.31,0.43
518,2,0.42,0.5,0.46,0.44
519,2,0.43,0.56,0.47,0.48
520,0,0.43,0.46,0.37,0.34
521,2,0.36,0.42,0.35,0.43
522,0,0.46,0.54,0.47,0.42
530,0,0.42,0.48,0.41,0.42
535,0,0.42,0.51,0.39,0.32
540,2,0.31,0.27,0.32,0.35
544,0,0.51,0.65,0.53,0.44
559,3,0.33,0.3,0.34,0.26
573,2,0.34,0.09,0.35,0.34
579,9,0.23,0.03,0.16,0.21
599,3,0.31,0.3,0.36,0.21
615,3,0.37,0.29,0.33,0.43
631,9,0.23,0.31,0.26,0.36
651,3,0.27,0.18,0.22,0.37
696,2,0.36,0.27,0.31,0.37
699,3,0.32,0.22,0.21,0.45
702,2,0.35,0.34,0.4,0.38
