Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,2,0.26,0.23,0.39,0.49
1,9,0.18,0.19,0.33,0.47
2,9,0.37,0.38,0.35,0.55
4,3,0.3,0.34,0.33,0.39
4,9,0.28,0.31,0.27,0.37
6,2,0.35,0.19,0.31,0.39
7,2,0.32,0.21,0.2,0.27
8,2,0.41,0.4,0.32,0.51
9,2,0.34,0.24,0.33,0.41
10,2,0.36,0.22,0.26,0.34
13,2,0.37,0.3,0.33,0.35
14,2,0.34,0.2,0.22,0.48
15,2,0.26,0.19,0.18,0.44
15,9,0.19,0.19,0.16,0.44
17,2,0.4,0.27,0.36,0.49
18,2,0.25,0.17,0.15,0.44
21,9,0.27,0.07,0.26,0.4
26,2,0.24,0.16,0.26,0.26
27,2,0.21,0.04,0.15,0.4
28,2,0.28,0.37,0.28,0.36
30,2,0.29,0.15,0.25,0.37
30,9,0.25,0.07,0.22,0.37
33,3,0.26,0.33,0.37,0.39
35,2,0.26,0.04,0.15,0.45
38,2,0.24,0.12,0.17,0.33
38,9,0.15,0.1,0.17,0.33
43,2,0.17,0.25,0.21,0.41
44,2,0.24,0.17,0.2,0.33
45,2,0.27,0.16,0.18,0.38
46,2,0.33,0.22,0.2,0.35
54,2,0.33,0.21,0.31,0.36
57,3,0.32,0.34,0.36,0.47
62,9,0.25,0.15,0.35,0.53
66,2,0.29,0.3,0.27,0.33
67,2,0.29,0.25,0.27,0.36
68,2,0.33,0.27,0.3,0.5
68,9,0.26,0.16,0.26,0.5
69,2,0.32,0.35,0.31,0.43
74,2,0.24,0.23,0.26,0.36
75,2,0.3,0.14,0.23,0.37
77,2,0.39,0.23,0.23,0.39
77,8,0.19,0.23,0.14,0.38
84,2,0.25,0.16,0.21,0.28
85,2,0.27,0.19,0.13,0.46
88,2,0.3,0.22,0.2,0.38
100,2,0.21,0.26,0.25,0.27
101,2,0.33,0.15,0.25,0.4
104,9,0.37,0.23,0.39,0.51
104,2,0.3,0.23,0.32,0.4
105,3,0.26,0.27,0.33,0.39
109,2,0.25,0.1,0.09,0.39
112,2,0.32,0.22,0.25,0.47
112,3,0.23,0.22,0.25,0.42
113,2,0.3,0.3,0.31,0.34
114,2,0.32,0.29,0.36,0.42
117,3,0.35,0.4,0.42,0.38
121,2,0.38,0.52,0.39,0.37
122,2,0.45,0.49,0.48,0.48
