Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
325,4,0.22,0.16,0.2,0.38
325,9,0.21,0.16,0.19,0.37
325,1,0.13,0.16,0.17,0.35
331,4,0.33,0.17,0.35,0.39
332,4,0.35,0.14,0.37,0.41
385,4,0.37,0.28,0.39,0.33
386,4,0.26,0.15,0.3,0.3
392,7,0.19,0.32,0.26,0.28
392,9,0.19,0.23,0.21,0.27
401,4,0.46,0.47,0.46,0.52
402,4,0.34,0.34,0.29,0.51
413,4,0.35,0.4,0.49,0.39
414,3,0.36,0.23,0.28,0.29
420,3,0.29,0.37,0.39,0.31
427,1,0.29,0.22,0.22,0.26
434,1,0.26,0.4,0.25,0.33
434,0,0.18,0.4,0.23,0.27
435,1,0.26,0.22,0.17,0.32
439,3,0.59,0.6,0.66,0.52
439,4,0.55,0.57,0.53,0.52
439,0,0.37,0.43,0.41,0.48
440,4,0.48,0.47,0.47,0.46
441,4,0.35,0.48,0.49,0.47
442,4,0.37,0.56,0.47,0.38
442,0,0.36,0.39,0.39,0.38
442,3,0.32,0.38,0.34,0.38
442,5,0.26,0.35,0.31,0.38
444,4,0.53,0.54,0.51,0.37
444,3,0.41,0.38,0.38,0.36
444,0,0.39,0.33,0.32,0.36
445,4,0.49,0.52,0.59,0.43
445,3,0.43,0.38,0.41,0.42
445,0,0.41,0.37,0.4,0.42
445,5,0.31,0.29,0.32,0.4
446,3,0.64,0.66,0.7,0.62
446,4,0.4,0.54,0.44,0.48
446,0,0.3,0.4,0.36,0.44
446,5,0.23,0.31,0.36,0.4
447,4,0.5,0.47,0.42,0.31
448,4,0.34,0.29,0.35,0.33
452,4,0.37,0.39,0.37,0.38
452,3,0.37,0.36,0.33,0.35
452,0,0.32,0.27,0.3,0.35
460,9,0.13,0.23,0.23,0.31
461,9,0.28,0.43,0.31,0.52
463,7,0.32,0.58,0.2,0.58
463,4,0.22,0.09,0.17,0.45
464,6,0.1,0.13,0.14,0.28
470,4,0.34,0.27,0.34,0.45
470,0,0.29,0.27,0.27,0.4
472,4,0.22,0.19,0.36,0.44
472,6,0.2,0.16,0.24,0.44
475,7,0.32,0.27,0.29,0.57
479,4,0.41,0.38,0.34,0.57
480,4,0.34,0.31,0.45,0.45
496,1,0.2,0.2,0.18,0.32
497,4,0.44,0.26,0.51,0.52
497,0,0.36,0.24,0.37,0.5
503,4,0.2,0.12,0.3,0.2
507,4,0.41,0.43,0.5,0.49
511,4,0.48,0.43,0.52,0.51
516,4,0.47,0.44,0.46,0.33
516,3,0.41,0.32,0.37,0.31
516,0,0.36,0.27,0.31,0.3
517,4,0.47,0.37,0.45,0.52
518,4,0.46,0.49,0.56,0.51
519,4,0.42,0.57,0.57,0.48
520,3,0.43,0.45,0.43,0.37
520,4,0.4,0.45,0.39,0.25
520,0,0.27,0.3,0.32,0.24
521,4,0.49,0.45,0.46,0.48
521,3,0.45,0.37,0.41,0.42
521,0,0.31,0.3,0.32,0.42
522,3,0.55,0.48,0.53,0.43
522,4,0.51,0.42,0.4,0.43
523,3,0.55,0.68,0.64,0.47
523,4,0.5,0.57,0.5,0.47
523,0,0.35,0.46,0.42,0.42
529,4,0.43,0.52,0.46,0.56
530,3,0.47,0.41,0.5,0.44
530,4,0.44,0.4,0.41,0.44
531,4,0.34,0.27,0.33,0.4
532,4,0.4,0.18,0.3,0.42
534,4,0.46,0.47,0.53,0.4
534,3,0.37,0.37,0.37,0.33
535,3,0.43,0.45,0.4,0.35
535,4,0.39,0.44,0.37,0.35
535,0,0.28,0.32,0.32,0.31
536,4,0.41,0.43,0.45,0.48
536,0,0.39,0.43,0.41,0.45
537,4,0.5,0.4,0.49,0.39
537,3,0.43,0.33,0.38,0.36
538,4,0.35,0.48,0.44,0.4
538,0,0.32,0.25,0.23,0.38
539,4,0.51,0.42,0.52,0.44
539,3,0.39,0.28,0.36,0.42
539,0,0.34,0.24,0.32,0.42
540,4,0.32,0.29,0.38,0.32
540,0,0.31,0.25,0.34,0.32
541,4,0.37,0.15,0.41,0.38
543,4,0.35,0.39,0.25,0.42
544,3,0.58,0.66,0.62,0.52
544,4,0.39,0.45,0.42,0.42
545,4,0.39,0.18,0.31,0.49
545,8,0.38,0.18,0.26,0.46
545,0,0.33,0.16,0.23,0.46
546,4,0.41,0.4,0.42,0.52
548,4,0.52,0.55,0.55,0.58
548,0,0.49,0.55,0.51,0.54
549,4,0.36,0.48,0.35,0.47
549,0,0.33,0.37,0.32,0.47
551,2,0.17,0.2,0.22,0.3
552,4,0.39,0.35,0.39,0.48
554,4,0.38,0.53,0.42,0.49
555,4,0.32,0.53,0.31,0.56
555,9,0.32,0.53,0.31,0.53
558,4,0.35,0.29,0.41,0.5
558,0,0.33,0.23,0.31,0.48
560,9,0.38,0.65,0.42,0.47
561,4,0.36,0.31,0.32,0.39
561,8,0.33,0.31,0.32,0.36
564,9,0.31,0.37,0.34,0.35
569,4,0.39,0.38,0.36,0.53
569,9,0.38,0.38,0.33,0.48
569,0,0.33,0.3,0.3,0.48
571,4,0.41,0.34,0.39,0.37
571,3,0.38,0.34,0.36,0.35
573,4,0.41,0.14,0.46,0.35
574,4,0.41,0.1,0.44,0.4
575,4,0.43,0.2,0.45,0.39
576,4,0.35,0.24,0.34,0.37
577,4,0.35,0.23,0.36,0.34
578,4,0.43,0.38,0.38,0.52
580,4,0.45,0.47,0.49,0.47
580,0,0.35,0.43,0.36,0.46
581,4,0.42,0.36,0.46,0.59
581,0,0.4,0.33,0.37,0.53
583,4,0.29,0.25,0.33,0.48
586,4,0.4,0.3,0.41,0.35
593,9,0.35,0.4,0.34,0.45
593,4,0.32,0.16,0.32,0.45
594,4,0.25,0.2,0.18,0.36
600,9,0.34,0.61,0.31,0.54
604,9,0.26,0.29,0.14,0.45
605,9,0.28,0.3,0.2,0.36
605,4,0.19,0.19,0.2,0.35
606,7,0.32,0.71,0.27,0.55
606,9,0.32,0.27,0.24,0.54
606,4,0.26,0.09,0.19,0.5
608,7,0.37,0.61,0.35,0.69
608,9,0.35,0.27,0.31,0.53
608,4,0.23,0.07,0.25,0.53
609,9,0.29,0.2,0.3,0.36
612,9,0.26,0.24,0.22,0.48
612,4,0.26,0.11,0.16,0.43
613,9,0.32,0.29,0.22,0.51
613,4,0.28,0.1,0.18,0.51
614,9,0.45,0.43,0.33,0.5
614,7,0.41,0.35,0.33,0.47
614,4,0.34,0.19,0.33,0.38
617,9,0.24,0.22,0.11,0.31
618,9,0.29,0.19,0.2,0.39
618,4,0.19,0.16,0.19,0.35
619,9,6.0,0.13,0.21,0.37
620,7,0.39,0.69,0.29,0.67
621,7,0.34,0.52,0.35,0.61
621,4,0.31,0.14,0.34,0.5
621,9,0.28,0.14,0.3,0.47
624,7,0.44,0.52,0.36,0.47
624,4,0.43,0.36,0.36,0.44
624,9,0.35,0.36,0.33,0.42
625,4,0.36,0.43,0.35,0.43
633,9,0.36,0.39,0.34,0.43
637,4,0.39,0.24,0.4,0.39
637,0,0.35,0.23,0.33,0.39
638,4,0.38,0.3,0.32,0.48
639,4,0.44,0.36,0.43,0.51
640,4,0.28,0.23,0.35,0.42
641,4,0.25,0.08,0.24,0.24
641,0,0.24,0.08,0.16,0.22
643,4,0.45,0.23,0.49,0.42
643,0,0.34,0.23,0.34,0.36
643,3,0.31,0.23,0.33,0.32
646,4,0.43,0.14,0.44,0.46
648,4,0.4,0.24,0.44,0.4
648,0,0.35,0.22,0.34,0.4
650,4,0.23,0.14,0.35,0.3
652,9,0.35,0.55,0.42,0.39
653,4,0.36,0.59,0.39,0.47
653,9,0.34,0.59,0.37,0.44
656,9,0.39,0.44,0.3,0.36
657,4,0.37,0.39,0.42,0.43
660,4,0.32,0.18,0.32,0.32
661,4,0.33,0.15,0.29,0.31
663,4,0.4,0.27,0.43,0.41
665,4,0.43,0.26,0.39,0.48
666,9,0.2,0.2,0.27,0.34
666,4,0.19,0.16,0.27,0.32
666,1,0.18,0.16,0.22,0.28
668,7,0.33,0.52,0.2,0.49
670,4,0.43,0.55,0.51,0.4
670,0,0.37,0.34,0.33,0.4
670,3,0.35,0.32,0.33,0.4
670,5,0.27,0.31,0.28,0.4
672,4,0.43,0.39,0.46,0.26
673,4,0.45,0.51,0.43,0.44
674,4,0.34,0.33,0.37,0.24
675,4,0.47,0.43,0.43,0.43
676,4,0.31,0.4,0.42,0.47
676,0,0.31,0.35,0.33,0.45
676,3,0.31,0.29,0.32,0.4
677,4,0.36,0.3,0.42,0.32
678,4,0.35,0.21,0.32,0.33
679,4,0.38,0.29,0.4,0.32
680,4,0.4,0.39,0.4,0.37
680,8,0.37,0.39,0.32,0.32
681,4,0.44,0.36,0.48,0.51
681,9,0.37,0.36,0.42,0.49
682,4,0.31,0.3,0.3,0.45
690,4,0.34,0.32,0.31,0.41
691,4,0.34,0.44,0.46,0.46
692,4,0.4,0.3,0.33,0.44
692,0,0.33,0.19,0.26,0.39
693,4,0.33,0.39,0.38,0.39
695,4,0.31,0.41,0.46,0.39
695,0,0.29,0.21,0.28,0.39
695,3,0.22,0.21,0.25,0.39
696,4,0.37,0.3,0.41,0.36
699,4,0.32,0.26,0.23,0.44
699,7,0.29,0.26,0.16,0.38
699,9,0.22,0.15,0.16,0.38
699,0,0.22,0.1,0.13,0.36
701,4,0.32,0.22,0.45,0.35
702,4,0.42,0.32,0.46,0.43
