Attack Pattern,Measure,Max Value,Models
26,2,0.26,"['Mpnet', 'Multilingual']"
77,2,0.39,"['MiniLM', 'Multilingual']"
124,2,0.35,"['Mpnet', 'Multilingual']"
188,1,0.29,"['ATTACK', 'Mpnet']"
320,3,0.26,"['Mpnet', 'Multilingual']"
327,3,0.3,"['ATTACK', 'Mpnet']"
328,3,0.29,"['ATTACK', 'Mpnet']"
401,2,0.42,"['ATTACK', 'Multilingual']"
447,2,0.44,"['MiniLM', 'ATTACK']"
536,2,0.39,"['MiniLM', 'Multilingual']"
701,9,0.39,"['Mpnet', 'Multilingual']"
