Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,8,0.43,0.35,0.52,0.48
3,9,0.12,0.25,0.11,0.3
4,9,0.28,0.29,0.33,0.41
5,9,0.36,0.38,0.32,0.38
14,0,0.28,0.15,0.24,0.44
20,7,0.33,0.51,0.35,0.58
20,9,0.27,0.27,0.26,0.56
22,9,0.32,0.43,0.29,0.49
28,0,0.33,0.4,0.34,0.46
28,5,0.31,0.39,0.33,0.46
33,9,0.26,0.36,0.37,0.31
38,0,0.2,0.15,0.23,0.38
39,7,0.38,0.26,0.26,0.46
39,9,0.37,0.2,0.24,0.46
39,8,0.37,0.09,0.23,0.4
43,9,0.25,0.38,0.32,0.55
45,5,0.23,0.14,0.14,0.38
47,0,0.28,0.26,0.24,0.56
53,9,0.09,0.19,0.13,0.25
57,9,0.42,0.39,0.43,0.49
57,7,0.37,0.32,0.36,0.49
58,8,0.36,0.22,0.34,0.31
61,9,0.35,0.21,0.3,0.47
62,5,0.32,0.17,0.33,0.43
66,0,0.32,0.36,0.38,0.37
68,7,0.26,0.16,0.28,0.5
75,8,0.41,0.24,0.31,0.37
77,0,0.31,0.27,0.2,0.4
78,9,0.21,0.28,0.17,0.36
80,9,0.24,0.33,0.21,0.38
81,5,0.37,0.29,0.27,0.34
81,1,0.37,0.22,0.26,0.32
84,0,0.24,0.22,0.29,0.34
87,8,0.26,0.36,0.39,0.37
88,0,0.33,0.22,0.23,0.43
90,9,0.4,0.36,0.35,0.47
97,7,0.4,0.54,0.3,0.64
102,9,0.27,0.26,0.37,0.36
102,5,0.24,0.11,0.3,0.29
105,9,0.25,0.31,0.33,0.34
107,9,0.28,0.16,0.32,0.37
107,5,0.28,0.11,0.27,0.3
115,8,0.41,0.29,0.38,0.46
115,9,0.3,0.28,0.33,0.46
120,9,0.17,0.33,0.14,0.43
121,4,0.39,0.35,0.36,0.41
122,8,0.58,0.63,0.62,0.44
122,4,0.36,0.52,0.5,0.44
124,8,0.37,0.21,0.38,0.38
134,9,0.32,0.42,0.39,0.36
134,7,0.27,0.34,0.37,0.32
137,9,0.17,0.36,0.18,0.41
143,4,0.3,0.43,0.3,0.33
