Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,2,0.26,0.23,0.4,0.48
1,9,0.25,0.18,0.36,0.45
1,7,0.25,0.17,0.34,0.44
1,3,0.21,0.16,0.34,0.44
1,1,0.2,0.14,0.28,0.37
2,9,0.35,0.39,0.35,0.58
2,3,0.34,0.39,0.35,0.52
2,7,0.34,0.27,0.3,0.44
2,2,0.3,0.27,0.3,0.42
2,4,0.27,0.27,0.3,0.42
2,5,0.25,0.27,0.3,0.39
2,6,0.25,0.24,0.3,0.36
2,8,0.25,0.24,0.26,0.31
2,0,0.2,0.2,0.24,0.3
2,1,0.2,0.2,0.23,0.3
4,3,0.29,0.35,0.3,0.47
4,2,0.27,0.27,0.3,0.37
4,7,0.22,0.27,0.28,0.37
4,6,0.2,0.27,0.28,0.36
4,9,0.2,0.25,0.25,0.36
4,0,0.2,0.24,0.22,0.36
4,5,0.2,0.24,0.22,0.32
4,1,0.15,0.24,0.22,0.29
4,4,0.14,0.2,0.22,0.29
4,8,0.14,0.19,0.22,0.28
5,3,0.33,0.34,0.37,0.44
5,9,0.3,0.25,0.3,0.44
5,7,0.3,0.17,0.22,0.36
5,0,0.3,0.17,0.21,0.35
6,9,0.29,0.22,0.36,0.46
6,2,0.29,0.18,0.33,0.34
6,3,0.28,0.17,0.3,0.34
6,1,0.28,0.16,0.3,0.33
6,7,0.25,0.13,0.3,0.33
6,5,0.23,0.13,0.27,0.33
6,0,0.21,0.12,0.27,0.33
6,4,0.2,0.12,0.26,0.28
6,8,0.19,0.1,0.26,0.28
6,6,0.11,0.1,0.26,0.19
7,9,0.28,0.24,0.21,0.2
7,2,0.26,0.24,0.21,0.19
7,3,0.26,0.22,0.16,0.19
7,1,0.26,0.21,0.15,0.19
7,7,0.26,0.19,0.15,0.19
7,0,0.18,0.14,0.14,0.19
7,8,0.18,0.12,0.14,0.17
7,4,0.18,0.11,0.1,0.12
7,5,0.12,0.11,0.09,0.08
7,6,0.09,0.08,0.09,0.08
8,2,0.37,0.45,0.35,0.5
8,9,0.35,0.32,0.22,0.5
8,7,0.35,0.29,0.22,0.48
8,3,0.31,0.29,0.22,0.47
8,4,0.26,0.29,0.22,0.45
8,6,0.26,0.28,0.22,0.41
8,1,0.26,0.26,0.19,0.39
8,0,0.24,0.25,0.19,0.39
8,5,0.24,0.21,0.17,0.35
8,8,0.24,0.19,0.17,0.32
9,2,0.33,0.22,0.31,0.46
9,9,0.28,0.18,0.3,0.46
9,3,0.25,0.16,0.25,0.46
10,2,0.31,0.27,0.29,0.41
10,9,0.28,0.23,0.23,0.41
10,6,0.27,0.19,0.23,0.35
10,7,0.27,0.18,0.2,0.35
10,3,0.24,0.18,0.18,0.35
10,4,0.22,0.18,0.18,0.32
10,5,0.18,0.15,0.18,0.32
10,0,0.18,0.14,0.18,0.32
10,1,0.18,0.14,0.18,0.21
10,8,0.16,0.1,0.18,0.21
11,9,0.21,0.24,0.29,0.37
11,2,0.17,0.2,0.25,0.34
11,7,0.15,0.18,0.19,0.34
11,3,0.15,0.17,0.18,0.34
12,2,0.32,0.3,0.23,0.46
12,3,0.32,0.3,0.22,0.46
12,7,0.29,0.3,0.21,0.46
12,9,0.26,0.3,0.21,0.46
12,0,0.25,0.24,0.19,0.34
12,5,0.25,0.24,0.17,0.32
12,6,0.25,0.23,0.17,0.27
12,1,0.25,0.22,0.15,0.27
12,4,0.18,0.21,0.13,0.27
12,8,0.17,0.18,0.11,0.21
13,2,0.26,0.36,0.34,0.41
13,9,0.25,0.33,0.28,0.41
13,4,0.25,0.3,0.28,0.33
13,1,0.25,0.29,0.28,0.29
13,6,0.21,0.29,0.28,0.29
13,0,0.21,0.27,0.26,0.28
13,5,0.21,0.27,0.26,0.28
13,7,0.21,0.23,0.23,0.28
13,3,0.19,0.22,0.23,0.28
13,8,0.17,0.2,0.23,0.27
14,2,0.33,0.2,0.27,0.47
14,9,0.29,0.19,0.27,0.47
14,3,0.29,0.16,0.24,0.42
15,9,0.25,0.22,0.22,0.48
15,3,0.25,0.19,0.16,0.45
15,2,0.25,0.17,0.16,0.38
15,7,0.25,0.17,0.16,0.36
15,1,0.2,0.17,0.16,0.34
15,0,0.15,0.13,0.16,0.34
15,4,0.15,0.13,0.13,0.33
15,5,0.15,0.13,0.13,0.32
15,8,0.15,0.09,0.13,0.29
15,6,0.09,0.09,0.13,0.27
16,9,0.12,0.13,0.14,0.4
16,7,0.1,0.13,0.1,0.35
16,3,0.08,0.13,0.09,0.35
16,5,0.08,0.09,0.09,0.32
17,3,0.33,0.3,0.38,0.51
17,2,0.32,0.3,0.38,0.51
17,9,0.27,0.29,0.38,0.51
17,7,0.26,0.24,0.33,0.48
18,9,0.29,0.22,0.21,0.43
18,2,0.29,0.2,0.16,0.43
18,7,0.25,0.18,0.14,0.43
18,3,0.24,0.17,0.14,0.43
18,5,0.24,0.14,0.11,0.29
20,7,0.24,0.12,0.22,0.52
20,3,0.19,0.12,0.19,0.52
21,9,0.38,0.12,0.33,0.41
22,3,0.32,0.3,0.21,0.53
22,9,0.32,0.24,0.21,0.51
22,7,0.32,0.24,0.19,0.44
22,0,0.32,0.24,0.17,0.4
22,2,0.32,0.24,0.17,0.39
22,6,0.21,0.24,0.17,0.37
22,1,0.21,0.22,0.16,0.37
22,5,0.19,0.22,0.16,0.37
22,4,0.17,0.19,0.16,0.37
22,8,0.17,0.15,0.16,0.3
24,9,0.2,0.23,0.17,0.42
24,3,0.19,0.23,0.17,0.37
25,3,0.26,0.27,0.2,0.33
25,9,0.25,0.18,0.2,0.33
25,6,0.24,0.18,0.2,0.22
25,0,0.24,0.17,0.17,0.22
25,7,0.24,0.17,0.17,0.22
25,1,0.23,0.17,0.17,0.21
25,4,0.19,0.17,0.16,0.21
25,2,0.19,0.13,0.11,0.14
25,8,0.16,0.13,0.11,0.14
25,5,0.12,0.1,0.1,0.09
26,9,0.19,0.2,0.25,0.35
26,2,0.19,0.19,0.25,0.22
27,2,0.17,0.09,0.15,0.38
27,9,0.15,0.09,0.15,0.38
27,3,0.14,0.09,0.14,0.38
27,7,0.14,0.09,0.14,0.33
27,4,0.09,0.07,0.14,0.27
27,6,0.09,0.06,0.14,0.25
27,5,0.09,0.05,0.1,0.25
27,0,0.09,-0.02,0.07,0.25
27,1,0.09,-0.02,0.07,0.25
27,8,0.07,-0.02,0.07,0.25
28,9,0.32,0.4,0.35,0.47
28,2,0.27,0.39,0.31,0.38
29,2,0.23,0.23,0.23,0.38
29,9,0.22,0.23,0.2,0.38
29,3,0.21,0.17,0.18,0.27
29,7,0.2,0.17,0.18,0.23
29,1,0.17,0.17,0.18,0.22
29,4,0.14,0.16,0.18,0.22
29,0,0.14,0.14,0.18,0.21
29,6,0.14,0.14,0.17,0.2
29,5,0.14,0.12,0.14,0.2
29,8,0.11,0.07,0.12,0.2
30,9,0.26,0.14,0.28,0.43
31,2,0.34,0.2,0.26,0.42
32,2,0.24,0.25,0.29,0.33
32,9,0.23,0.25,0.29,0.33
33,3,0.25,0.3,0.34,0.41
33,2,0.25,0.19,0.31,0.32
33,7,0.21,0.19,0.31,0.32
33,9,0.17,0.18,0.31,0.31
33,1,0.17,0.17,0.29,0.31
33,0,0.15,0.16,0.29,0.31
33,5,0.15,0.16,0.29,0.24
33,6,0.15,0.14,0.29,0.24
33,8,0.15,0.14,0.24,0.24
33,4,0.15,0.09,0.2,0.19
34,3,0.32,0.3,0.27,0.43
34,9,0.32,0.22,0.27,0.38
35,9,0.23,0.06,0.23,0.5
35,3,0.22,0.03,0.15,0.41
35,2,0.19,0.03,0.15,0.38
36,1,0.31,0.25,0.28,0.45
36,2,0.28,0.22,0.28,0.45
36,3,0.27,0.22,0.28,0.45
36,4,0.23,0.21,0.24,0.42
36,6,0.22,0.21,0.24,0.42
36,9,0.22,0.18,0.22,0.42
36,0,0.22,0.13,0.21,0.38
36,5,0.22,0.13,0.19,0.38
36,7,0.21,0.1,0.19,0.38
36,8,0.2,0.05,0.14,0.3
37,9,0.41,0.31,0.4,0.55
37,2,0.41,0.31,0.39,0.53
37,7,0.37,0.31,0.39,0.53
37,3,0.33,0.24,0.36,0.53
37,1,0.32,0.2,0.33,0.43
38,9,0.19,0.17,0.23,0.39
38,2,0.19,0.15,0.2,0.35
38,6,0.18,0.11,0.18,0.35
38,3,0.18,0.1,0.15,0.35
38,4,0.18,0.1,0.15,0.28
38,7,0.18,0.08,0.15,0.26
38,1,0.16,0.08,0.15,0.23
38,0,0.13,0.07,0.15,0.23
38,5,0.12,0.07,0.15,0.23
38,8,0.12,-0.01,0.12,0.2
39,2,0.31,0.08,0.22,0.43
39,7,0.27,0.08,0.19,0.43
40,2,0.25,0.06,0.21,0.39
40,9,0.21,0.06,0.2,0.39
40,5,0.21,0.06,0.17,0.31
40,7,0.21,0.03,0.15,0.31
40,3,0.16,0.03,0.14,0.31
40,4,0.16,0.02,0.14,0.21
40,6,0.16,0.01,0.14,0.21
40,0,0.16,-0.03,0.13,0.21
40,8,0.16,-0.04,0.11,0.21
40,1,0.16,-0.05,0.06,0.18
41,9,0.31,0.36,0.36,0.56
41,7,0.31,0.33,0.29,0.45
41,2,0.25,0.33,0.28,0.45
41,5,0.24,0.33,0.27,0.45
41,3,0.24,0.3,0.27,0.44
41,8,0.21,0.29,0.27,0.39
41,6,0.18,0.29,0.27,0.38
41,4,0.18,0.26,0.2,0.38
41,0,0.18,0.25,0.17,0.38
41,1,0.18,0.23,0.16,0.32
42,7,0.26,0.31,0.33,0.43
42,3,0.24,0.28,0.33,0.43
42,9,0.21,0.27,0.33,0.43
42,2,0.21,0.26,0.31,0.32
43,9,0.23,0.2,0.25,0.49
43,3,0.2,0.2,0.24,0.43
43,7,0.2,0.2,0.24,0.42
43,2,0.17,0.2,0.23,0.34
43,1,0.15,0.2,0.23,0.33
43,4,0.15,0.14,0.23,0.33
43,0,0.13,0.13,0.23,0.33
43,5,0.08,0.13,0.23,0.3
43,6,0.02,0.13,0.23,0.27
43,8,0.01,0.05,0.11,0.27
44,2,0.2,0.18,0.2,0.36
44,3,0.19,0.17,0.19,0.36
44,9,0.17,0.17,0.19,0.36
44,7,0.17,0.12,0.19,0.28
46,2,0.28,0.23,0.17,0.32
46,9,0.23,0.23,0.17,0.32
46,3,0.23,0.23,0.14,0.29
46,0,0.23,0.18,0.13,0.27
46,5,0.23,0.18,0.12,0.23
46,7,0.23,0.17,0.12,0.23
46,8,0.17,0.16,0.12,0.23
46,1,0.15,0.16,0.12,0.17
46,6,0.15,0.14,0.12,0.17
46,4,0.15,0.12,0.05,0.16
47,2,0.31,0.29,0.28,0.55
47,3,0.27,0.25,0.21,0.55
47,9,0.27,0.25,0.21,0.55
47,7,0.27,0.23,0.21,0.42
47,1,0.23,0.21,0.21,0.42
48,2,0.22,0.12,0.19,0.36
48,7,0.21,0.11,0.18,0.36
48,9,0.21,0.11,0.18,0.36
48,3,0.17,0.1,0.13,0.36
48,5,0.17,0.1,0.13,0.26
48,6,0.16,0.07,0.13,0.26
48,8,0.16,0.04,0.12,0.26
48,0,0.1,0.04,0.08,0.26
48,4,0.1,0.04,0.05,0.21
48,1,0.1,0.02,0.04,0.14
49,9,0.19,0.13,0.1,0.4
49,3,0.17,0.13,0.07,0.35
50,9,0.22,0.08,0.23,0.44
50,7,0.22,0.08,0.21,0.39
50,2,0.21,0.08,0.21,0.38
50,3,0.13,0.08,0.15,0.38
50,4,0.13,0.07,0.14,0.32
50,5,0.13,0.07,0.14,0.3
50,1,0.13,0.04,0.14,0.25
50,6,0.13,0.02,0.14,0.25
50,8,0.13,0.01,0.1,0.24
50,0,0.06,0.01,0.09,0.23
51,3,0.28,0.11,0.25,0.36
52,2,0.27,0.19,0.28,0.4
52,3,0.26,0.19,0.25,0.4
52,1,0.25,0.14,0.25,0.4
52,9,0.22,0.14,0.25,0.4
52,7,0.2,0.14,0.25,0.28
52,4,0.2,0.13,0.25,0.26
52,5,0.18,0.13,0.25,0.26
52,0,0.17,0.11,0.25,0.25
52,6,0.16,0.11,0.25,0.22
52,8,0.14,0.11,0.19,0.22
53,3,0.03,0.1,0.12,0.24
54,2,0.35,0.28,0.32,0.45
57,3,0.35,0.32,0.37,0.54
57,7,0.35,0.27,0.37,0.48
57,2,0.35,0.21,0.35,0.44
58,3,0.3,0.12,0.3,0.38
58,7,0.28,0.11,0.3,0.29
58,2,0.27,0.07,0.29,0.29
58,9,0.22,0.05,0.29,0.29
59,9,0.35,0.13,0.26,0.44
59,2,0.35,0.12,0.22,0.33
59,7,0.29,0.12,0.21,0.33
59,3,0.25,0.12,0.19,0.33
59,0,0.25,0.1,0.19,0.28
60,9,0.32,0.12,0.23,0.37
60,2,0.32,0.11,0.18,0.25
60,5,0.27,0.11,0.17,0.25
60,7,0.27,0.1,0.17,0.25
60,3,0.22,0.1,0.16,0.25
60,6,0.21,0.09,0.16,0.2
60,0,0.21,0.06,0.15,0.2
60,4,0.21,0.05,0.15,0.18
60,8,0.21,0.04,0.15,0.18
60,1,0.21,0.03,0.1,0.15
61,2,0.35,0.13,0.31,0.43
62,9,0.31,0.19,0.34,0.5
62,2,0.31,0.19,0.31,0.42
62,7,0.3,0.19,0.3,0.42
62,3,0.28,0.19,0.29,0.42
62,5,0.23,0.19,0.29,0.34
62,6,0.23,0.15,0.28,0.33
62,4,0.23,0.13,0.25,0.33
62,8,0.23,0.1,0.24,0.3
62,1,0.22,0.06,0.18,0.28
62,0,0.17,0.05,0.18,0.28
63,2,0.32,0.37,0.34,0.47
63,9,0.3,0.34,0.34,0.47
63,5,0.27,0.32,0.3,0.42
63,7,0.27,0.28,0.29,0.42
64,3,0.21,0.22,0.2,0.35
64,9,0.21,0.18,0.2,0.25
64,5,0.21,0.16,0.15,0.23
64,7,0.21,0.16,0.15,0.23
64,2,0.21,0.15,0.15,0.2
64,0,0.12,0.15,0.15,0.18
64,4,0.12,0.15,0.15,0.18
64,6,0.1,0.15,0.15,0.15
64,8,0.1,0.15,0.11,0.14
64,1,0.08,0.15,0.11,0.11
65,2,0.39,0.29,0.4,0.49
65,1,0.35,0.25,0.32,0.49
65,3,0.35,0.24,0.32,0.49
65,9,0.33,0.23,0.32,0.49
65,7,0.31,0.23,0.32,0.41
65,6,0.25,0.22,0.32,0.4
65,4,0.25,0.2,0.27,0.4
65,0,0.24,0.15,0.26,0.4
65,5,0.24,0.11,0.25,0.3
65,8,0.19,0.08,0.25,0.3
66,9,0.3,0.34,0.33,0.34
67,2,0.25,0.26,0.27,0.34
67,3,0.23,0.23,0.24,0.34
67,7,0.23,0.23,0.24,0.34
67,9,0.22,0.23,0.24,0.34
67,0,0.19,0.19,0.23,0.31
67,1,0.19,0.16,0.17,0.27
67,4,0.19,0.16,0.17,0.26
67,8,0.19,0.16,0.17,0.26
67,5,0.15,0.16,0.17,0.25
67,6,0.08,0.16,0.17,0.23
68,2,0.27,0.28,0.36,0.46
68,4,0.23,0.2,0.32,0.46
68,6,0.23,0.15,0.32,0.46
68,9,0.23,0.15,0.26,0.46
68,7,0.19,0.13,0.26,0.46
68,3,0.19,0.13,0.2,0.45
68,1,0.18,0.13,0.2,0.36
68,5,0.15,0.11,0.2,0.36
68,0,0.12,0.08,0.19,0.36
68,8,0.11,0.03,0.19,0.33
69,2,0.3,0.39,0.34,0.47
69,9,0.26,0.32,0.31,0.47
70,9,0.26,0.15,0.23,0.44
70,3,0.26,0.15,0.22,0.39
71,3,0.15,0.2,0.15,0.38
72,2,0.26,0.24,0.16,0.38
72,9,0.23,0.24,0.15,0.38
72,3,0.22,0.24,0.14,0.38
72,7,0.2,0.21,0.14,0.25
72,5,0.18,0.2,0.14,0.25
72,0,0.14,0.18,0.14,0.2
72,4,0.14,0.18,0.14,0.17
72,6,0.14,0.18,0.14,0.14
72,8,0.14,0.17,0.11,0.13
72,1,0.11,0.17,0.09,0.11
73,9,0.23,0.27,0.28,0.38
73,2,0.23,0.26,0.24,0.34
73,5,0.2,0.26,0.23,0.34
73,7,0.2,0.24,0.21,0.34
73,3,0.18,0.19,0.21,0.34
73,8,0.15,0.19,0.21,0.27
73,1,0.15,0.18,0.21,0.23
73,6,0.14,0.18,0.21,0.23
73,4,0.14,0.17,0.14,0.23
73,0,0.13,0.14,0.13,0.23
74,2,0.27,0.28,0.27,0.39
74,9,0.27,0.26,0.25,0.39
74,3,0.27,0.25,0.25,0.34
74,0,0.22,0.23,0.25,0.34
74,1,0.22,0.23,0.23,0.29
74,4,0.22,0.22,0.23,0.29
74,7,0.22,0.21,0.23,0.29
74,8,0.12,0.18,0.23,0.29
74,5,0.11,0.18,0.23,0.27
74,6,0.09,0.18,0.23,0.24
75,2,0.26,0.16,0.26,0.34
75,9,0.23,0.11,0.26,0.34
75,7,0.23,0.09,0.16,0.31
76,2,0.26,0.12,0.27,0.4
76,9,0.24,0.12,0.27,0.4
77,2,0.36,0.27,0.22,0.39
77,9,0.3,0.26,0.18,0.39
77,7,0.29,0.21,0.16,0.39
77,0,0.22,0.2,0.16,0.39
77,1,0.22,0.2,0.14,0.36
77,3,0.22,0.2,0.14,0.36
77,8,0.2,0.2,0.14,0.3
77,4,0.17,0.2,0.1,0.26
77,5,0.16,0.2,0.1,0.24
77,6,0.12,0.13,0.09,0.24
78,9,0.18,0.18,0.16,0.35
78,2,0.18,0.17,0.14,0.35
78,3,0.15,0.17,0.13,0.35
78,7,0.15,0.16,0.13,0.28
78,4,0.14,0.16,0.13,0.23
78,5,0.1,0.16,0.13,0.23
78,0,0.09,0.16,0.13,0.17
78,1,0.08,0.16,0.12,0.17
78,6,0.06,0.16,0.12,0.17
78,8,0.05,0.09,0.09,0.16
79,3,0.15,0.22,0.25,0.39
79,9,0.14,0.22,0.25,0.3
79,2,0.14,0.2,0.24,0.3
79,6,0.14,0.19,0.2,0.3
79,7,0.14,0.18,0.19,0.3
79,4,0.14,0.17,0.18,0.25
79,0,0.14,0.15,0.18,0.24
79,5,0.14,0.15,0.18,0.24
79,8,0.14,0.14,0.17,0.21
79,1,0.05,0.14,0.12,0.2
80,3,0.17,0.23,0.21,0.33
81,3,0.29,0.19,0.25,0.34
81,9,0.28,0.19,0.25,0.34
83,9,0.21,0.09,0.24,0.24
84,9,0.26,0.19,0.28,0.32
84,2,0.26,0.17,0.25,0.27
84,7,0.25,0.14,0.24,0.27
84,3,0.25,0.13,0.21,0.27
84,1,0.18,0.13,0.2,0.27
85,9,0.27,0.25,0.19,0.54
85,2,0.26,0.25,0.19,0.5
85,3,0.25,0.22,0.16,0.5
85,7,0.25,0.22,0.16,0.46
86,2,0.26,0.29,0.25,0.37
86,3,0.24,0.29,0.23,0.37
86,5,0.23,0.27,0.23,0.34
86,9,0.23,0.26,0.23,0.34
86,7,0.23,0.25,0.2,0.28
86,1,0.21,0.25,0.2,0.26
86,8,0.21,0.21,0.2,0.26
86,6,0.21,0.2,0.19,0.26
86,0,0.21,0.19,0.16,0.26
86,4,0.21,0.18,0.14,0.2
87,3,0.25,0.34,0.36,0.4
87,9,0.21,0.32,0.35,0.4
87,2,0.21,0.31,0.32,0.3
87,7,0.21,0.31,0.3,0.29
87,5,0.18,0.31,0.3,0.25
87,8,0.17,0.26,0.3,0.23
87,1,0.16,0.25,0.3,0.23
87,6,0.15,0.25,0.3,0.23
87,4,0.15,0.23,0.24,0.22
87,0,0.11,0.2,0.21,0.17
88,9,0.28,0.22,0.23,0.45
88,2,0.27,0.22,0.21,0.4
89,9,0.23,0.34,0.28,0.45
90,3,0.33,0.21,0.3,0.46
92,2,0.18,0.28,0.19,0.25
92,9,0.16,0.26,0.16,0.25
92,0,0.15,0.21,0.14,0.18
93,2,0.28,0.24,0.29,0.31
93,7,0.24,0.24,0.28,0.31
93,9,0.23,0.24,0.28,0.31
93,3,0.23,0.23,0.24,0.26
93,0,0.19,0.18,0.24,0.23
94,3,0.35,0.37,0.36,0.42
95,2,0.25,0.26,0.32,0.47
95,3,0.23,0.22,0.32,0.47
95,9,0.23,0.22,0.3,0.43
95,7,0.22,0.18,0.26,0.32
95,1,0.2,0.18,0.23,0.32
95,8,0.17,0.16,0.23,0.32
95,0,0.16,0.16,0.22,0.32
95,5,0.16,0.08,0.22,0.31
95,4,0.13,0.08,0.22,0.29
95,6,0.1,0.08,0.22,0.27
96,3,0.1,0.22,0.21,0.27
96,2,0.06,0.22,0.21,0.27
96,9,0.05,0.15,0.15,0.27
96,1,0.05,0.14,0.15,0.25
96,7,0.05,0.14,0.15,0.25
96,4,0.04,0.14,0.15,0.22
96,6,0.04,0.12,0.15,0.21
96,0,0.04,0.08,0.12,0.2
96,8,0.04,0.04,0.08,0.17
96,5,-0.03,0.04,0.06,0.1
97,3,0.28,0.23,0.23,0.54
97,7,0.28,0.22,0.23,0.5
98,9,0.32,0.42,0.36,0.38
98,5,0.28,0.42,0.3,0.29
98,3,0.28,0.36,0.29,0.29
98,2,0.28,0.36,0.27,0.28
98,7,0.27,0.36,0.27,0.28
100,2,0.2,0.31,0.25,0.31
100,9,0.16,0.26,0.23,0.31
100,3,0.16,0.21,0.23,0.26
101,2,0.32,0.18,0.28,0.47
101,7,0.28,0.18,0.28,0.47
102,3,0.23,0.12,0.3,0.4
102,9,0.23,0.12,0.3,0.34
102,7,0.23,0.12,0.29,0.33
