Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
36,2,0.08,0.06,0.15,0.32
36,7,0.03,0.05,0.11,0.31
37,0,0.41,0.34,0.47,0.58
37,5,0.41,0.34,0.46,0.58
37,1,0.39,0.34,0.46,0.49
38,0,0.23,0.14,0.23,0.44
38,4,0.17,0.12,0.23,0.38
38,5,0.17,0.11,0.23,0.38
38,8,0.16,0.1,0.21,0.36
38,1,0.15,0.1,0.2,0.35
38,9,0.14,0.1,0.2,0.32
38,3,0.14,0.09,0.12,0.32
38,2,0.09,0.08,0.12,0.32
38,6,0.09,0.08,0.12,0.24
38,7,-0.08,-0.04,0.03,0.24
41,9,0.3,0.27,0.28,0.49
41,0,0.3,0.26,0.26,0.49
41,1,0.24,0.25,0.26,0.49
41,5,0.24,0.24,0.25,0.49
43,9,0.25,0.38,0.34,0.59
43,0,0.25,0.29,0.27,0.59
43,5,0.19,0.29,0.27,0.59
45,0,0.25,0.17,0.15,0.4
46,0,0.27,0.24,0.2,0.35
47,0,0.31,0.29,0.25,0.55
47,5,0.31,0.26,0.25,0.47
47,1,0.31,0.25,0.25,0.41
48,0,0.19,0.12,0.18,0.32
48,1,0.13,0.08,0.18,0.32
49,9,0.23,0.35,0.16,0.44
51,1,0.33,0.15,0.28,0.32
52,5,0.26,0.28,0.3,0.38
53,9,0.02,0.21,0.16,0.26
53,5,0.01,0.21,0.13,0.26
53,6,0.01,0.21,0.12,0.24
54,0,0.4,0.29,0.28,0.48
55,9,0.25,0.38,0.3,0.44
58,8,0.35,0.34,0.43,0.47
58,5,0.33,0.14,0.32,0.47
58,4,0.33,0.14,0.32,0.44
58,9,0.3,0.14,0.32,0.35
58,6,0.29,0.14,0.31,0.34
58,0,0.27,0.14,0.31,0.32
58,2,0.21,0.14,0.28,0.32
58,1,0.21,0.11,0.28,0.31
58,3,0.21,0.11,0.18,0.26
58,7,0.14,0.11,0.18,0.26
60,1,0.25,0.18,0.31,0.36
60,8,0.25,0.14,0.26,0.36
60,9,0.25,0.14,0.24,0.36
60,0,0.25,0.12,0.23,0.36
60,5,0.25,0.12,0.22,0.36
60,4,0.22,0.12,0.18,0.31
60,2,0.21,0.12,0.18,0.26
60,6,0.2,0.1,0.18,0.24
60,3,0.15,0.1,0.18,0.21
60,7,-0.01,0.03,0.02,0.21
62,9,0.32,0.18,0.32,0.47
63,8,0.31,0.36,0.34,0.42
63,5,0.31,0.34,0.32,0.42
63,0,0.31,0.34,0.32,0.41
63,4,0.31,0.32,0.32,0.39
63,6,0.27,0.27,0.32,0.31
63,9,0.23,0.25,0.32,0.31
63,1,0.23,0.23,0.31,0.31
63,3,0.23,0.22,0.16,0.27
63,2,0.11,0.14,0.14,0.27
63,7,0.04,-0.0,0.09,0.24
64,0,0.22,0.27,0.2,0.3
64,5,0.15,0.27,0.19,0.3
64,7,0.14,0.27,0.19,0.29
64,9,0.14,0.2,0.19,0.28
64,4,0.12,0.17,0.19,0.22
65,4,0.42,0.24,0.36,0.46
65,5,0.37,0.21,0.36,0.46
65,9,0.37,0.21,0.36,0.44
66,0,0.32,0.37,0.4,0.38
67,1,0.23,0.25,0.29,0.37
67,0,0.23,0.22,0.27,0.37
67,5,0.23,0.21,0.27,0.35
67,4,0.23,0.19,0.24,0.35
67,9,0.14,0.19,0.24,0.35
70,9,0.35,0.41,0.37,0.53
70,8,0.35,0.26,0.34,0.48
70,6,0.35,0.25,0.32,0.48
70,4,0.26,0.17,0.29,0.48
70,5,0.25,0.17,0.27,0.48
70,7,0.23,0.17,0.26,0.39
70,0,0.23,0.16,0.26,0.36
70,3,0.23,0.16,0.26,0.3
70,1,0.09,0.14,0.24,0.3
70,2,0.08,0.14,0.18,0.28
71,9,0.17,0.22,0.14,0.39
73,0,0.23,0.24,0.25,0.36
73,5,0.17,0.18,0.25,0.36
74,8,0.35,0.35,0.33,0.44
74,0,0.33,0.33,0.33,0.44
74,4,0.33,0.31,0.33,0.35
74,5,0.3,0.31,0.33,0.35
74,1,0.3,0.3,0.33,0.33
74,2,0.3,0.3,0.33,0.3
74,9,0.3,0.28,0.33,0.3
74,6,0.3,0.26,0.22,0.29
74,3,0.19,0.26,0.2,0.29
74,7,0.14,0.16,0.12,0.22
75,8,0.37,0.29,0.26,0.43
75,4,0.29,0.18,0.22,0.41
75,0,0.21,0.18,0.22,0.38
75,5,0.21,0.16,0.21,0.38
75,6,0.2,0.15,0.21,0.36
75,1,0.19,0.15,0.21,0.27
75,9,0.19,0.15,0.17,0.27
75,3,0.16,0.15,0.17,0.23
75,2,0.08,0.15,0.11,0.23
75,7,-0.0,0.06,0.04,0.23
76,8,0.33,0.26,0.37,0.39
76,5,0.33,0.25,0.33,0.39
76,0,0.33,0.25,0.32,0.38
76,4,0.31,0.25,0.32,0.35
76,6,0.24,0.25,0.32,0.3
76,9,0.24,0.25,0.32,0.29
76,1,0.21,0.25,0.32,0.27
76,2,0.15,0.25,0.21,0.26
76,3,0.15,0.15,0.21,0.26
76,7,0.0,0.15,0.14,0.26
77,0,0.34,0.3,0.2,0.42
78,7,0.18,0.25,0.18,0.33
79,0,0.16,0.23,0.26,0.35
79,4,0.15,0.22,0.26,0.35
80,9,0.16,0.28,0.21,0.36
81,1,0.31,0.27,0.3,0.35
81,8,0.31,0.24,0.23,0.35
81,0,0.31,0.24,0.22,0.34
81,4,0.29,0.24,0.22,0.34
81,5,0.27,0.24,0.22,0.34
81,2,0.26,0.24,0.22,0.29
81,9,0.26,0.13,0.22,0.29
81,6,0.26,0.13,0.19,0.25
81,3,0.23,0.13,0.19,0.2
81,7,0.06,0.08,0.06,0.2
83,9,0.27,0.22,0.32,0.36
83,8,0.26,0.16,0.32,0.34
83,0,0.26,0.14,0.26,0.33
83,4,0.24,0.12,0.26,0.33
83,5,0.22,0.12,0.26,0.33
83,6,0.2,0.12,0.24,0.28
83,3,0.19,0.1,0.24,0.23
83,1,0.11,0.04,0.24,0.23
83,2,0.06,0.04,0.12,0.2
83,7,0.02,0.02,0.11,0.2
