Attack Pattern,Measure,Max Value,Models
58,4,0.41,"['Mpnet', 'Multilingual']"
94,3,0.43,"['MiniLM', 'Mpnet']"
190,4,0.35,"['MiniLM', 'Mpnet']"
234,4,0.36,"['Mpnet', 'Multilingual']"
463,7,0.58,"['ATTACK', 'Multilingual']"
480,4,0.45,"['Mpnet', 'Multilingual']"
498,4,0.35,"['Mpnet', 'Multilingual']"
519,4,0.57,"['ATTACK', 'Mpnet']"
680,4,0.4,"['MiniLM', 'Mpnet']"
691,4,0.46,"['Mpnet', 'Multilingual']"
