Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
583,3,0.29,0.29,0.33,0.46
585,9,0.33,0.32,0.25,0.39
593,6,0.4,0.17,0.25,0.47
600,9,0.37,0.3,0.26,0.53
600,6,0.36,0.3,0.26,0.44
601,9,0.37,0.25,0.25,0.36
606,4,0.26,0.37,0.15,0.51
607,9,0.33,0.24,0.22,0.35
608,4,0.35,0.41,0.31,0.55
610,3,0.39,0.36,0.32,0.51
610,9,0.38,0.36,0.32,0.51
610,7,0.33,0.36,0.32,0.51
614,9,0.41,0.3,0.27,0.34
625,9,0.35,0.27,0.3,0.44
626,9,0.39,0.28,0.31,0.42
630,6,0.21,0.33,0.15,0.37
630,5,0.19,0.33,0.15,0.37
630,0,0.18,0.33,0.15,0.37
630,3,0.18,0.33,0.15,0.37
630,7,0.17,0.33,0.15,0.37
632,9,0.27,0.38,0.34,0.31
633,9,0.36,0.21,0.29,0.4
637,9,0.38,0.21,0.31,0.42
637,6,0.37,0.21,0.31,0.42
637,7,0.35,0.21,0.31,0.42
643,9,0.4,0.21,0.42,0.49
643,3,0.37,0.21,0.42,0.49
643,7,0.37,0.21,0.42,0.49
643,6,0.35,0.21,0.42,0.49
647,6,0.43,0.22,0.29,0.53
647,9,0.42,0.22,0.29,0.53
647,7,0.35,0.22,0.29,0.53
651,9,0.36,0.14,0.21,0.42
653,9,0.41,0.22,0.29,0.42
656,9,0.32,0.36,0.26,0.34
656,4,0.28,0.36,0.26,0.33
656,7,0.27,0.36,0.26,0.33
664,6,0.35,0.27,0.27,0.42
664,9,0.34,0.27,0.27,0.42
674,9,0.35,0.34,0.29,0.31
675,1,0.37,0.29,0.38,0.34
675,6,0.37,0.29,0.38,0.34
675,7,0.37,0.29,0.38,0.34
675,0,0.34,0.29,0.38,0.34
675,9,0.34,0.29,0.38,0.34
675,3,0.33,0.29,0.38,0.34
682,0,0.23,0.33,0.21,0.41
682,1,0.21,0.33,0.21,0.41
694,9,0.41,0.24,0.33,0.53
694,3,0.34,0.24,0.33,0.53
694,7,0.34,0.24,0.33,0.53
696,6,0.41,0.29,0.3,0.4
696,9,0.37,0.29,0.3,0.4
696,2,0.36,0.29,0.3,0.4
